,date,date.1,open_apple,high_apple,low_apple,apple_price,apple_adj,volume_apple,divid,split coef,apple,iphone,apple watch,airpods
653,2017-10-03,2017-10-03,154.01,155.09,153.91,154.48,148.6466,16146388.0,0.0,1.0,30.34,27.93,24.96,2.72
652,2017-10-04,2017-10-04,153.63,153.86,152.46,153.48,147.6843,19844177.0,0.0,1.0,30.75,28.91,24.96,3.68
651,2017-10-05,2017-10-05,154.18,155.44,154.05,155.39,149.5222,21032800.0,0.0,1.0,30.75,28.42,27.2,3.76
650,2017-10-06,2017-10-06,154.97,155.49,154.56,155.3,149.4356,16423749.0,0.0,1.0,31.57,28.42,27.84,3.2
649,2017-10-09,2017-10-09,155.81,156.73,155.485,155.84,149.9552,16200129.0,0.0,1.0,30.8,28.8,24.8,2.96
648,2017-10-10,2017-10-10,156.055,158.0,155.1,155.9,150.0129,15456331.0,0.0,1.0,28.4,26.88,23.56,2.96
647,2017-10-11,2017-10-11,155.97,156.98,155.75,156.55,150.6384,16607693.0,0.0,1.0,28.8,26.4,22.63,3.6
646,2017-10-12,2017-10-12,156.35,157.37,155.7299,156.0,150.1092,16045720.0,0.0,1.0,28.0,25.92,23.87,3.24
645,2017-10-13,2017-10-13,156.73,157.28,156.41,156.99,151.0618,16287608.0,0.0,1.0,28.4,26.88,24.49,2.76
644,2017-10-16,2017-10-16,157.9,160.0,157.65,159.88,153.8426,23894630.0,0.0,1.0,28.86,26.68,23.7,2.84
643,2017-10-17,2017-10-17,159.78,160.87,159.23,160.47,154.4104,18816438.0,0.0,1.0,27.69,25.76,23.1,3.16
642,2017-10-18,2017-10-18,160.42,160.71,159.6,159.76,153.7272,16158659.0,0.0,1.0,27.3,25.76,24.0,2.24
641,2017-10-19,2017-10-19,156.75,157.08,155.02,155.98,150.0899,42111326.0,0.0,1.0,27.69,25.3,22.8,2.8000000000000003
640,2017-10-20,2017-10-20,156.61,157.75,155.96,156.25,150.3497,23612246.0,0.0,1.0,28.08,25.3,22.8,3.0
639,2017-10-23,2017-10-23,156.89,157.69,155.5,156.17,150.2727,21654461.0,0.0,1.0,29.52,33.040000000000006,23.4,2.96
638,2017-10-24,2017-10-24,156.29,157.42,156.2,157.1,151.1676,17137731.0,0.0,1.0,28.7,33.040000000000006,20.7,2.48
637,2017-10-25,2017-10-25,156.91,157.55,155.27,156.41,150.5037,20126554.0,0.0,1.0,28.29,33.040000000000006,21.6,2.6
636,2017-10-26,2017-10-26,157.23,157.8295,156.78,157.41,151.4659,16751691.0,0.0,1.0,29.52,35.28,23.7,3.08
635,2017-10-27,2017-10-27,159.29,163.6,158.7,163.05,156.8929,43904150.0,0.0,1.0,39.77,56.00000000000001,23.1,3.16
634,2017-10-30,2017-10-30,163.89,168.07,163.72,166.72,160.4244,43923292.0,0.0,1.0,26.52,36.6,20.7,2.64
633,2017-10-31,2017-10-31,167.9,169.6499,166.94,169.04,162.6567,35474672.0,0.0,1.0,26.52,36.6,19.2,2.88
632,2017-11-01,2017-11-01,169.87,169.94,165.61,166.89,160.5879,33100847.0,0.0,1.0,18.33,34.2,6.9,1.12
631,2017-11-02,2017-11-02,167.64,168.5,165.28,168.11,161.7619,32710040.0,0.0,1.0,18.72,36.0,7.5,1.2
630,2017-11-03,2017-11-03,174.0,174.26,171.12,172.5,165.9861,58683826.0,0.0,1.0,21.84,51.6,8.4,1.24
629,2017-11-06,2017-11-06,172.365,174.99,171.72,174.25,167.67,34242566.0,0.0,1.0,20.5,48.75,8.84,1.65
628,2017-11-07,2017-11-07,173.91,175.25,173.6,174.81,168.2089,23910914.0,0.0,1.0,21.73,46.8,9.52,1.9
627,2017-11-08,2017-11-08,174.66,176.24,174.33,176.24,169.5849,24409527.0,0.0,1.0,20.91,44.2,9.52,1.55
626,2017-11-09,2017-11-09,175.11,176.095,173.14,175.88,169.2385,28636531.0,0.0,1.0,20.91,43.55,9.18,1.9
625,2017-11-10,2017-11-10,175.11,175.38,174.27,174.67,168.6804,25061183.0,0.63,1.0,22.14,45.5,9.86,1.8
624,2017-11-13,2017-11-13,173.5,174.5,173.4,173.97,168.0044,16828025.0,0.0,1.0,20.91,36.54,10.8,1.9
623,2017-11-14,2017-11-14,173.04,173.48,171.18,171.34,165.4645,23588451.0,0.0,1.0,20.5,35.37999999999999,10.8,1.6
622,2017-11-15,2017-11-15,169.97,170.3197,168.38,169.08,163.282,28702351.0,0.0,1.0,20.5,37.7,10.44,1.9
621,2017-11-16,2017-11-16,171.18,171.87,170.3,171.1,165.2328,23497326.0,0.0,1.0,20.91,37.12,10.8,1.6
620,2017-11-17,2017-11-17,171.04,171.39,169.64,170.15,164.3154,21665811.0,0.0,1.0,20.91,35.96,10.8,1.8
619,2017-11-20,2017-11-20,170.29,170.56,169.56,169.98,164.1512,15974387.0,0.0,1.0,34.22,40.95,25.35,3.52
618,2017-11-21,2017-11-21,170.78,173.7,170.78,173.14,167.2028,24875471.0,0.0,1.0,36.54,40.95,24.05,3.28
617,2017-11-22,2017-11-22,173.36,175.0,173.05,174.96,168.9604,24997274.0,0.0,1.0,46.4,43.55,28.6,3.76
616,2017-11-24,2017-11-24,175.1,175.5,174.6459,174.97,168.9701,14026519.0,0.0,1.0,53.94,57.85,65.0,7.92
615,2017-11-27,2017-11-27,175.05,175.08,173.34,174.09,168.1202,20536313.0,0.0,1.0,28.81,38.08000000000001,33.15,9.0
614,2017-11-28,2017-11-28,174.3,174.87,171.86,173.07,167.1352,25468442.0,0.0,1.0,23.65,33.6,23.97,5.58
613,2017-11-29,2017-11-29,172.63,172.92,167.16,169.48,163.6683,40788324.0,0.0,1.0,21.5,33.040000000000006,17.34,4.59
612,2017-11-30,2017-11-30,170.43,172.14,168.44,171.85,165.9571,40172368.0,0.0,1.0,20.64,31.92,17.85,4.41
611,2017-12-01,2017-12-01,169.95,171.67,168.5,171.05,165.1845,39590080.0,0.0,1.0,21.07,33.6,10.71,2.52
610,2017-12-04,2017-12-04,172.48,172.62,169.63,169.8,163.9774,32115052.0,0.0,1.0,19.38,32.33,9.43,2.3800000000000003
609,2017-12-05,2017-12-05,169.06,171.52,168.4,169.64,163.8228,27008428.0,0.0,1.0,19.38,31.270000000000003,9.02,2.5900000000000003
608,2017-12-06,2017-12-06,167.5,170.2047,166.46,169.01,163.2144,28224357.0,0.0,1.0,18.62,30.74,8.61,2.5200000000000005
607,2017-12-07,2017-12-07,169.03,170.44,168.91,169.32,163.5138,24469613.0,0.0,1.0,18.24,30.21,8.61,2.3800000000000003
606,2017-12-08,2017-12-08,170.49,171.0,168.82,169.37,163.5621,23096872.0,0.0,1.0,18.24,30.74,8.61,2.3800000000000003
605,2017-12-11,2017-12-11,169.2,172.89,168.79,172.67,166.7489,33092051.0,0.0,1.0,19.11,29.64,10.58,3.8
604,2017-12-12,2017-12-12,172.15,172.39,171.46099999999996,171.7,165.8122,18945457.0,0.0,1.0,19.11,30.16,10.58,4.4
603,2017-12-13,2017-12-13,172.5,173.54,172.0,172.27,166.3627,23142242.0,0.0,1.0,18.33,29.12,10.58,3.9
602,2017-12-14,2017-12-14,172.4,173.13,171.65,172.22,166.3144,20219307.0,0.0,1.0,19.11,28.6,10.12,4.4
601,2017-12-15,2017-12-15,173.63,174.17,172.46,173.97,168.0044,37054632.0,0.0,1.0,19.5,29.64,11.5,4.2
600,2017-12-18,2017-12-18,174.88,177.2,174.86,176.42,170.3703,28831533.0,0.0,1.0,24.75,33.6,14.580000000000002,6.16
599,2017-12-19,2017-12-19,175.03,175.39,174.09,174.54,168.5548,27078872.0,0.0,1.0,24.75,33.6,15.12,5.94
598,2017-12-20,2017-12-20,174.87,175.42,173.25,174.35,168.3713,23000392.0,0.0,1.0,24.75,33.040000000000006,14.580000000000002,5.72
597,2017-12-21,2017-12-21,174.17,176.02,174.1,175.01,169.0087,20356826.0,0.0,1.0,27.0,36.40000000000001,15.12,6.05
596,2017-12-22,2017-12-22,174.68,175.424,174.5,175.01,169.0087,16052615.0,0.0,1.0,28.8,37.52,16.740000000000002,5.39
595,2017-12-26,2017-12-26,170.8,171.47,169.679,170.57,164.7209,32968167.0,0.0,1.0,48.72000000000001,58.08000000000001,72.54,9.75
594,2017-12-27,2017-12-27,170.1,170.78,169.71,170.6,164.7499,21672062.0,0.0,1.0,42.56,50.82,45.57,7.15
593,2017-12-28,2017-12-28,171.0,171.85,170.48,171.08,165.2135,15997739.0,0.0,1.0,38.08000000000001,44.88,37.2,6.11
592,2017-12-29,2017-12-29,170.52,170.59,169.22,169.23,163.4269,25643711.0,0.0,1.0,38.08000000000001,47.52,32.550000000000004,5.59
591,2018-01-02,2018-01-02,170.16,172.3,169.26,172.26,166.35299999999995,25048048.0,0.0,1.0,40.74,48.45,42.14,6.32
590,2018-01-03,2018-01-03,172.53,174.55,171.96,172.23,166.324,28819653.0,0.0,1.0,38.22,46.41,43.0,7.92
589,2018-01-04,2018-01-04,172.54,173.47,172.08,173.03,167.0966,22211345.0,0.0,1.0,38.64,44.88,38.27,6.8
588,2018-01-05,2018-01-05,173.44,175.37,173.05,175.0,168.99900000000005,23016177.0,0.0,1.0,39.9,45.9,35.26,6.5600000000000005
587,2018-01-08,2018-01-08,174.35,175.61,173.93,174.35,168.3713,20134092.0,0.0,1.0,30.96,36.9,28.0,6.3000000000000025
586,2018-01-09,2018-01-09,174.55,175.06,173.41,174.33,168.352,21262614.0,0.0,1.0,29.88,36.0,26.95,6.0900000000000025
585,2018-01-10,2018-01-10,173.16,174.3,173.0,174.29,168.3134,23589129.0,0.0,1.0,30.24,36.0,27.3,5.74
584,2018-01-11,2018-01-11,174.59,175.4886,174.49,175.28,169.2694,17523256.0,0.0,1.0,29.16,35.55000000000001,24.85,5.670000000000001
583,2018-01-12,2018-01-12,176.18,177.36,175.65,177.09,171.0174,25039531.0,0.0,1.0,28.44,35.55000000000001,24.15,5.74
582,2018-01-16,2018-01-16,177.9,179.39,176.14,176.19,170.1482,29159005.0,0.0,1.0,28.08,32.25,19.5,4.9700000000000015
581,2018-01-17,2018-01-17,176.15,179.25,175.07,179.1,172.9584,32752734.0,0.0,1.0,28.44,31.82,18.9,5.1800000000000015
580,2018-01-18,2018-01-18,179.37,180.1,178.25,179.26,173.113,30234512.0,0.0,1.0,30.96,31.82,17.7,5.670000000000001
579,2018-01-19,2018-01-19,178.61,179.58,177.41,178.46,172.3404,30827809.0,0.0,1.0,28.8,30.96,18.3,5.670000000000001
578,2018-01-22,2018-01-22,177.3,177.78,176.6016,177.0,170.9305,26023683.0,0.0,1.0,27.65,32.76,18.6,5.3900000000000015
577,2018-01-23,2018-01-23,177.3,179.44,176.82,177.04,170.9691,31702531.0,0.0,1.0,28.35,31.92,20.1,5.32
576,2018-01-24,2018-01-24,177.25,177.3,173.2,174.22,168.2458,50562257.0,0.0,1.0,27.65,31.08,20.1,5.8100000000000005
575,2018-01-25,2018-01-25,174.505,174.95,170.53,171.11,165.2424,39661804.0,0.0,1.0,28.7,31.08,19.2,5.6000000000000005
574,2018-01-26,2018-01-26,172.0,172.0,170.06,171.51,165.6287,37121805.0,0.0,1.0,28.35,30.24,18.0,5.53
573,2018-01-29,2018-01-29,170.16,170.16,167.07,167.96,162.2004,48434424.0,0.0,1.0,26.86000000000001,29.6,17.01,5.670000000000001
572,2018-01-30,2018-01-30,165.525,167.37,164.7,166.97,161.2444,45137026.0,0.0,1.0,26.86000000000001,28.8,16.200000000000006,5.250000000000001
571,2018-01-31,2018-01-31,166.87,168.4417,166.5,167.43,161.6886,30984099.0,0.0,1.0,26.180000000000003,28.8,16.200000000000006,5.040000000000001
570,2018-02-01,2018-02-01,167.165,168.62,166.76,167.78,162.0266,38099665.0,0.0,1.0,31.28,30.8,16.740000000000002,5.95
569,2018-02-02,2018-02-02,166.0,166.8,160.1,160.5,154.9963,85436075.0,0.0,1.0,30.94,32.4,18.36,6.580000000000001
568,2018-02-05,2018-02-05,159.1,163.88,156.0,156.49,151.1238,66090446.0,0.0,1.0,28.56,28.8,18.56,4.98
567,2018-02-06,2018-02-06,154.83,163.72,154.0,163.03,157.4395,66625484.0,0.0,1.0,30.26,30.8,19.43,5.1
566,2018-02-07,2018-02-07,163.085,163.4,159.0685,159.54,154.0692,50852130.0,0.0,1.0,30.6,32.0,20.01,5.279999999999999
565,2018-02-08,2018-02-08,160.29,161.0,155.03,155.15,149.8297,49594129.0,0.0,1.0,30.26,32.800000000000004,20.88,5.279999999999999
564,2018-02-09,2018-02-09,157.07,157.89,150.24,156.41,151.6549,66723743.0,0.63,1.0,30.94,32.800000000000004,21.46,5.819999999999999
563,2018-02-12,2018-02-12,158.5,163.89,157.51,162.71,157.7634,60560145.0,0.0,1.0,30.36000000000001,31.20000000000001,25.6,6.5100000000000025
562,2018-02-13,2018-02-13,161.95,164.75,161.65,164.34,159.3438,32104756.0,0.0,1.0,29.04000000000001,29.6,26.88,7.000000000000001
561,2018-02-14,2018-02-14,163.045,167.54,162.88,167.37,162.2817,39669178.0,0.0,1.0,28.05,30.0,24.64,6.0200000000000005
