,Unnamed: 0,date,open_apple,high_apple,low_apple,apple_price,apple_adj,volume_apple,divid,split coef,apple,iphone,apple_watch,airpods,wei_dyn_corr,dynamic_corr,apple_gen_trend,wei_apple_trend,weighted_apple_trend,diff_wei_trend
21,21,2018-02-02,166.0,166.8,160.1,160.5,154.9963,85436075.0,0.0,1.0,30.94,32.4,18.36,6.580000000000001,0.49969648364581304,0.269834897376921,88.28,25.807,28.4615,-1.4192500000000017
22,22,2018-02-05,159.1,163.88,156.0,156.49,151.1238,66090446.0,0.0,1.0,28.56,28.8,18.56,4.98,0.485917705711158,0.3186774295650689,80.9,25.34275,26.0895,-0.46424999999999983
23,23,2018-02-06,154.83,163.72,154.0,163.03,157.4395,66625484.0,0.0,1.0,30.26,30.8,19.43,5.1,0.4125750485415179,0.276423213520694,85.59,23.509,27.66875,-1.8337499999999984
24,24,2018-02-07,163.085,163.4,159.0685,159.54,154.0692,50852130.0,0.0,1.0,30.6,32.0,20.01,5.2799999999999985,0.343604707806466,0.250100323032038,87.89,24.624,28.18675,1.1149999999999984
25,25,2018-02-08,160.29,161.0,155.03,155.15,149.8297,49594129.0,0.0,1.0,30.26,32.800000000000004,20.88,5.2799999999999985,0.541920353054474,0.482742830908125,89.22,24.752,28.191000000000003,0.1280000000000001
26,26,2018-02-09,157.07,157.89,150.24,156.41,151.6549,66723743.0,0.63,1.0,30.94,32.800000000000004,21.46,5.8199999999999985,0.477198952684317,0.396207994855515,91.02,24.874,28.717000000000002,0.12199999999999989
27,27,2018-02-12,158.5,163.89,157.51,162.71,157.7634,60560145.0,0.0,1.0,30.36000000000001,31.20000000000001,25.6,6.5100000000000025,0.11566439156993,0.0505305662090629,93.67,24.866,28.382250000000013,-0.007999999999999119
28,28,2018-02-13,161.95,164.75,161.65,164.34,159.3438,32104756.0,0.0,1.0,29.04000000000001,29.6,26.88,7.000000000000001,0.39070343806070096,0.45848145556356396,92.52,25.124,27.33700000000001,0.2579999999999991
29,29,2018-02-14,163.045,167.54,162.88,167.37,162.2817,39669178.0,0.0,1.0,28.05,30.0,24.64,6.0200000000000005,0.46325617766639,0.5868001785116271,88.71,24.7425,26.532,-0.38149999999999906
30,30,2018-02-15,169.79,173.09,169.0,172.99,167.7309,50609595.0,0.0,1.0,28.05,30.4,24.64,6.9300000000000015,0.47574704482484603,0.566536456714675,90.02,24.92175,26.680249999999997,0.1792499999999997
31,31,2018-02-16,172.36,174.82,171.77,172.43,167.1879,39638793.0,0.0,1.0,27.72,30.4,24.64,6.0900000000000025,0.5556907538271271,0.593249838426077,88.85,23.79825,26.402749999999997,-1.1235
32,32,2018-02-20,172.05,174.26,171.42,171.85,166.6255,33531012.0,0.0,1.0,27.06,31.6,21.39,6.23,0.555106241346088,0.5782460603281739,86.28,24.47775,25.9805,0.6795000000000009
33,33,2018-02-21,172.83,174.12,171.01,171.07,165.8692,35833514.0,0.0,1.0,27.72,30.8,23.56,6.23,0.5233002921210911,0.536063706127058,88.31,25.1155,26.41225,0.6377500000000005
34,34,2018-02-22,171.8,173.95,171.71,172.5,167.2557,30504116.0,0.0,1.0,27.72,32.0,21.7,6.790000000000001,0.552181069181383,0.534976889087563,88.21,25.344,26.554750000000002,0.22850000000000037
35,35,2018-02-23,173.67,175.65,173.54,175.5,170.1645,33329232.0,0.0,1.0,27.39,33.2,23.25,6.370000000000001,0.5718576437090711,0.543004677738568,90.21,25.04225,26.665,-0.30175000000000196
36,36,2018-02-26,176.35,179.39,176.21,178.97,173.5291,36886432.0,0.0,1.0,28.38000000000001,32.800000000000004,23.1,6.0900000000000025,0.5905806124471179,0.576237550707694,90.37,26.08575,27.19625000000001,1.0435000000000016
37,37,2018-02-27,179.1,180.48,178.16,178.39,172.9667,38685165.0,0.0,1.0,28.71,32.4,22.2,6.5100000000000025,0.6308960242056899,0.598814405206588,89.82,23.435,27.29475,-2.650750000000002
38,38,2018-02-28,179.26,180.615,178.05,178.12,172.7049,33604574.0,0.0,1.0,28.38000000000001,32.0,21.9,6.44,0.634364434618093,0.603424339492249,88.72,23.63025,26.972500000000007,0.19525000000000148
39,39,2018-03-01,178.54,179.775,172.66,175.0,169.6797,48801970.0,0.0,1.0,26.73,31.6,24.3,5.53,0.611043111432723,0.591349455542261,88.16,22.2865,25.931750000000005,-1.34375
40,40,2018-03-02,172.8,176.3,172.45,176.21,170.85299999999995,38453950.0,0.0,1.0,26.4,32.4,25.2,5.880000000000001,0.537857537065601,0.5643875640031241,89.88,22.45025,25.971,0.16375000000000028
41,41,2018-03-05,175.21,177.74,174.52,176.82,171.4444,28401366.0,0.0,1.0,25.28,31.6,23.8,4.74,0.524811068971746,0.575613587640375,85.42,21.91075,24.892500000000002,-0.5395000000000003
42,42,2018-03-06,177.91,178.25,176.13,176.67,171.299,23788506.0,0.0,1.0,25.92,32.0,22.4,4.5,0.34382256588056,0.546165653500877,84.82,24.1365,25.265500000000003,2.2257500000000014
43,43,2018-03-07,174.94,175.85,174.27,175.03,169.7088,31703462.0,0.0,1.0,25.28,31.20000000000001,22.4,4.38,0.337890088049445,0.5284709823530179,83.26,22.941,24.680500000000002,-1.1955000000000027
44,44,2018-03-08,175.48,177.12,175.07,176.94,171.5608,23163767.0,0.0,1.0,25.6,32.4,21.000000000000004,4.8,0.179809983839911,0.49625170069146,83.8,22.78725,25.055,-0.15374999999999872
45,45,2018-03-09,177.96,180.0,177.39,179.98,174.5083,31385134.0,0.0,1.0,25.92,32.0,21.56,5.88,0.187054159359109,0.495254924501789,85.36,22.67175,25.306000000000004,-0.11550000000000082
46,46,2018-03-12,180.29,182.39,180.21,181.72,176.1954,32055405.0,0.0,1.0,25.11,32.4,21.33,4.62,0.26854049606527697,0.5303275808537821,83.46,22.85475,24.74775,0.18299999999999983
47,47,2018-03-13,182.59,183.5,179.24,179.97,174.4987,31168404.0,0.0,1.0,25.42,31.20000000000001,20.790000000000006,4.98,0.134897839252137,0.520620553549601,82.39,23.6,24.695750000000004,0.7452500000000022
48,48,2018-03-14,180.32,180.52,177.81,178.44,173.0152,29075469.0,0.0,1.0,24.8,31.6,18.630000000000006,4.38,0.0566396483672553,0.4940947169493429,79.41,22.548,24.16575,-1.0520000000000032
49,49,2018-03-15,178.5,180.24,178.0701,178.65,173.2188,22584565.0,0.0,1.0,24.18,31.6,19.71,4.62,-0.130239238584391,0.4122569470403201,80.11,22.396,23.861749999999997,-0.15199999999999747
50,50,2018-03-16,178.65,179.12,177.62,178.02,172.6079,36836456.0,0.0,1.0,25.11,33.2,20.520000000000003,4.26,-0.26113324366324997,0.3848349531704871,83.09,22.5855,24.820000000000004,0.1894999999999989
51,51,2018-03-19,177.32,177.47,173.66,175.3,169.9706,32804695.0,0.0,1.0,25.73,34.0,20.02,5.58,-0.13272999320928802,0.4518349143538951,85.33,22.3475,25.444500000000005,-0.23799999999999955
52,52,2018-03-20,175.24,176.8,174.94,175.24,169.9124,19314039.0,0.0,1.0,24.18,32.0,18.98,5.04,0.100284951739935,0.5071804158193429,80.2,24.778,23.9185,2.4304999999999986
53,53,2018-03-21,175.04,175.09,171.26,171.27,166.0631,35247358.0,0.0,1.0,24.49,33.2,19.76,4.62,-0.158933016719443,0.448011622698991,82.07,29.5565,24.387,4.778500000000001
54,54,2018-03-22,170.0,172.68,168.6,168.85,163.7167,41051076.0,0.0,1.0,24.8,32.800000000000004,19.76,5.4,-0.147660236216233,0.46136390483046996,82.76,28.1125,24.567000000000004,-1.443999999999999
55,55,2018-03-23,168.39,169.92,164.94,164.94,159.9256,40248954.0,0.0,1.0,24.8,32.4,18.98,4.8599999999999985,-0.11725249044401402,0.48421962253934997,81.04,26.007,24.388,-2.1054999999999993
56,56,2018-03-26,168.07,173.1,166.44,172.77,167.5175,36272617.0,0.0,1.0,28.9,32.39,22.96,5.670000000000001,-0.13640998353723,0.462270128932895,89.92,27.2335,27.41025,1.226499999999998
57,57,2018-03-27,173.68,175.15,166.92,168.34,163.2222,38962839.0,0.0,1.0,34.0,35.26,22.12,6.370000000000001,0.423401522435957,0.599486472992884,97.75,27.09,31.28875,-0.14349999999999952
58,58,2018-03-28,167.25,170.02,165.19,166.48,161.4188,41668545.0,0.0,1.0,29.92,33.62,20.44,6.23,0.602357609950109,0.67057074218587,90.21,27.60225,28.172250000000002,0.5122500000000016
59,59,2018-03-29,167.805,171.75,166.9,167.78,162.6792,38398505.0,0.0,1.0,28.22,33.62,21.28,6.16,0.535861657184552,0.655757135170451,89.28,26.10925,27.125,-1.493000000000002
60,60,2018-04-02,167.88,168.94,164.47,166.68,161.6127,37586791.0,0.0,1.0,30.08,34.71,20.28,5.53,0.502601338212241,0.649540837243859,90.6,26.12025,28.429750000000002,0.010999999999999233
61,61,2018-04-03,167.64,168.7455,164.88,168.39,163.2707,30278046.0,0.0,1.0,29.76,32.76,20.8,6.0900000000000025,0.5615602442660971,0.6469258364695379,89.41,25.99175,27.91275,-0.12849999999999895
62,62,2018-04-04,164.88,172.01,164.77,171.61,166.3928,34605489.0,0.0,1.0,28.8,33.15,21.32,5.53,0.5668081450723461,0.647312018890936,88.8,26.214,27.363750000000003,0.22224999999999895
63,63,2018-04-05,172.58,174.2304,172.08,172.8,167.5466,26933197.0,0.0,1.0,28.48,31.98,20.02,5.11,0.561149995143568,0.641624213344146,85.59,26.232,26.79275,0.018000000000000682
64,64,2018-04-06,170.97,172.48,168.2,168.38,163.261,35005290.0,0.0,1.0,27.52,32.370000000000005,18.2,5.74,0.5551933037844771,0.599161505354262,83.83,25.9755,26.1575,-0.25649999999999906
65,65,2018-04-09,169.88,173.09,169.845,170.05,164.8802,29017718.0,0.0,1.0,29.76,33.93,25.65,7.000000000000001,0.526226366424832,0.569532463624064,96.34,25.32975,28.57875,-0.6457499999999996
66,66,2018-04-10,173.0,174.0,171.53,173.25,167.9829,28614241.0,0.0,1.0,29.12,32.370000000000005,21.33,6.370000000000001,0.628773330114055,0.645307556105704,89.19,24.507,27.4795,-0.8227499999999992
67,67,2018-04-11,172.23,173.9232,171.7,172.44,167.1976,22431640.0,0.0,1.0,29.44,32.370000000000005,20.790000000000006,6.5100000000000025,0.594999123942939,0.651106535095217,89.11,26.0175,27.657500000000006,1.5104999999999968
68,68,2018-04-12,173.41,175.0,173.04,174.14,168.8459,22889285.0,0.0,1.0,28.48,31.20000000000001,19.98,5.8100000000000005,0.6093068218456479,0.653776021155585,85.47,24.5925,26.68625,-1.4249999999999972
69,69,2018-04-13,174.78,175.84,173.85,174.73,169.418,25124255.0,0.0,1.0,28.16,32.370000000000005,21.06,6.0900000000000025,0.5726046807898879,0.621389389148778,87.68,25.02525,26.81425,0.43274999999999864
70,70,2018-04-16,175.0301,176.19,174.8301,175.82,170.4748,21578420.0,0.0,1.0,26.4,32.3,20.520000000000003,5.880000000000001,0.5915888984806271,0.6316625755342621,85.1,26.232,25.6,1.2067499999999995
71,71,2018-04-17,176.49,178.9365,176.41,178.24,172.8212,26605442.0,0.0,1.0,26.1,31.16,19.71,5.53,0.496776284695077,0.6078376461522359,82.5,25.80875,25.09,-0.42324999999999946
72,72,2018-04-18,177.81,178.82,176.88,177.84,172.4334,20754538.0,0.0,1.0,26.1,31.54,20.520000000000003,6.370000000000001,0.375249354888856,0.55174838785427,84.53,24.95575,25.28975,-0.8530000000000015
73,73,2018-04-19,174.95,175.39,172.66,172.8,167.5466,34808800.0,0.0,1.0,26.7,32.3,20.790000000000006,6.16,0.361507868764192,0.5610004152577529,85.95,24.12375,25.836250000000003,-0.8319999999999972
74,74,2018-04-20,170.595,171.2184,165.43,165.72,160.6819,65491140.0,0.0,1.0,27.6,30.78,19.71,5.880000000000001,0.443311870481147,0.5758072019049479,83.97,25.202,26.01525,1.0782500000000006
75,75,2018-04-23,166.8348,166.92,164.09,165.24,160.2165,36515477.0,0.0,1.0,27.59,31.45,22.12,5.8100000000000005,0.472619590270455,0.5624102450503461,86.97,24.86525,26.31825,-0.3367500000000021
76,76,2018-04-24,165.67,166.33,161.2201,162.94,157.9864,33692017.0,0.0,1.0,28.21,29.97,23.24,6.23,0.540603147546942,0.6095488520432549,87.65,25.4025,26.54075,0.5372500000000002
77,77,2018-04-25,162.62,165.42,162.41,163.65,158.6748,28382084.0,0.0,1.0,26.97,29.6,21.000000000000004,5.1800000000000015,0.556465547628647,0.6220863043525329,82.75,24.441,25.414,-0.9615000000000009
78,78,2018-04-26,164.12,165.73,163.37,164.22,159.2275,27963014.0,0.0,1.0,26.04,29.6,21.56,5.53,0.4394452432416621,0.5668301915884599,82.73,24.14925,24.877750000000002,-0.2917500000000004
79,79,2018-04-27,164.0,164.33,160.63,162.32,157.3852,35655839.0,0.0,1.0,25.73,29.23,20.72,5.8100000000000005,0.267938523462561,0.543535672717332,81.49,24.03225,24.56025,-0.11699999999999733
80,80,2018-04-30,162.1302,167.26,161.84,165.26,160.2359,42427424.0,0.0,1.0,29.44,29.97,26.35,5.6000000000000005,0.0996799153792706,0.5755887929278329,91.36,24.17925,27.526250000000005,0.14699999999999847
81,81,2018-05-01,166.4102,169.2,165.27,169.1,163.9591,53569376.0,0.0,1.0,29.12,29.6,17.98,5.250000000000001,0.528375528165298,0.651013943687595,81.95,24.3175,26.590250000000005,0.13824999999999932
82,82,2018-05-02,175.225,177.75,173.8,176.57,171.202,66539371.0,0.0,1.0,28.48,28.86,19.22,5.6000000000000005,0.511480575418862,0.530652447367759,82.16,24.7835,26.145500000000002,0.4660000000000011
83,83,2018-05-03,175.88,177.5,174.4411,176.89,171.5123,34068180.0,0.0,1.0,27.84,28.86,20.77,5.74,0.501394743762874,0.4385500567412899,83.21,25.113000000000003,25.85625,0.329500000000003
84,84,2018-05-04,178.25,184.25,178.17,183.83,178.2413,56201317.0,0.0,1.0,27.84,29.6,20.77,5.8100000000000005,0.497933470939989,0.454993508740772,84.02,24.186,26.0095,-0.9270000000000032
85,85,2018-05-07,185.18,187.67,184.75,185.16,179.5309,42451423.0,0.0,1.0,28.8,31.16,24.84,6.48,0.539153749754423,0.498703968989284,91.28,23.5275,27.301000000000002,-0.6585000000000001
86,86,2018-05-08,184.99,186.22,183.665,186.05,180.3938,28402777.0,0.0,1.0,27.2,30.02,25.2,7.68,0.659264507355605,0.670428957971444,90.1,27.1475,26.150000000000002,3.620000000000001
87,87,2018-05-09,186.55,187.4,185.22,187.36,181.66400000000002,23211241.0,0.0,1.0,28.16,30.4,25.56,7.04,0.599114212803663,0.7187833516537979,91.16,26.564,26.829,-0.5835000000000008
88,88,2018-05-10,187.74,190.37,187.65,190.04,184.2625,27989289.0,0.0,1.0,28.48,30.02,25.92,6.32,0.630964963266818,0.7609069106324521,90.74,25.727,26.934,-0.8369999999999997
89,89,2018-05-11,189.49,190.06,187.45,188.59,183.5644,26212221.0,0.73,1.0,28.16,30.4,27.0,7.2,0.651862734781081,0.8005478277342192,92.76,25.725,26.948999999999998,-0.0019999999999988916
90,90,2018-05-14,189.01,189.53,187.86,188.15,183.1361,20778772.0,0.0,1.0,28.48,32.3,28.7,6.3000000000000025,0.643018113358234,0.8204677083900408,95.78,26.351,27.597,0.6259999999999977
91,91,2018-05-15,186.78,187.07,185.1,186.44,181.4717,23695159.0,0.0,1.0,28.16,30.4,26.25,5.74,0.676740099364933,0.8517287637259849,90.55,27.758000000000006,26.78325,1.4070000000000071
92,92,2018-05-16,186.07,188.46,186.0,188.18,183.1653,19183064.0,0.0,1.0,26.24,30.78,22.75,6.0200000000000005,0.631924168311798,0.840260146990887,85.79,26.828000000000007,25.369750000000003,-0.9299999999999997
93,93,2018-05-17,188.0,188.91,186.36,186.99,182.007,17294029.0,0.0,1.0,26.56,30.02,22.05,5.670000000000001,0.488937464946883,0.7539207222200159,84.3,25.5525,25.346999999999998,-1.275500000000008
94,94,2018-05-18,187.19,187.8102,186.13,186.31,181.3452,18297728.0,0.0,1.0,26.56,30.02,22.05,5.670000000000001,0.41456542139838704,0.661272546831379,84.3,25.093000000000004,25.346999999999998,-0.4594999999999949
95,95,2018-05-21,188.0,189.27,186.9106,187.63,182.63,18400787.0,0.0,1.0,25.73,30.4,19.22,6.0900000000000025,0.37528438639809797,0.6036301710818199,81.44,24.689,24.702750000000005,-0.40400000000000347
96,96,2018-05-22,188.375,188.88,186.78,187.16,182.1725,15240704.0,0.0,1.0,26.04,30.78,18.91,5.74,0.132923439538938,0.396297229570115,81.47,24.2895,24.93075,-0.39949999999999974
97,97,2018-05-23,186.35,188.5,185.76,188.36,183.3405,20058415.0,0.0,1.0,25.11,30.78,19.22,6.16,0.0763422460329767,0.250454321779013,81.27,23.76,24.381,-0.5294999999999987
98,98,2018-05-24,188.77,188.84,186.21,188.15,183.1361,23233975.0,0.0,1.0,26.35,31.54,18.91,5.74,-0.131332040529665,0.12994047330567302,82.54,23.835,25.28425,0.07499999999999929
99,99,2018-05-25,188.23,189.65,187.65,188.58,183.5547,17460963.0,0.0,1.0,26.35,31.92,18.91,5.670000000000001,0.0191776626153042,0.15816269544272799,82.85,23.649,25.355,-0.18599999999999994
100,100,2018-05-29,187.6,188.75,186.87,187.9,182.8928,22514075.0,0.0,1.0,26.24,33.2,19.53,6.0900000000000025,0.130114755116857,0.19318499254966398,85.06,24.4995,25.6175,0.8505000000000003
