"","0.65 * apple_trend + 0.2 * iphone_trend + 0.075 * apple_watch_trend"
"702",30.562
"703",29.9825
"704",30.136
"705",29.6005
"706",27.976
"707",27.78
"708",26.4815
"709",27.38175
"710",33.86625
"711",35.532
"712",33.42375
"713",30.11475
"714",20.51325
"715",18.7595
"716",17.92575
"717",17.83975
"718",17.5415
"719",17.64325
"720",19.23275
"721",18.3985
"722",18.87925
"723",19.48925
"724",20.496
"725",19.14725
"726",18.50325
"727",19.0975
"728",18.818
"729",19.456
"730",31.55025
"731",33.8035
"732",40.63325
"733",64.475
"734",33.32
"735",26.55075
"736",22.664
"737",24.355
"738",23.69675
"739",19.36425
"740",19.24
"741",19.53975
"742",19.01175
"743",20.04975
"744",22.30225
"745",21.84175
"746",21.256
"747",21.22575
"748",21.986
"749",35.082
"750",38.29325
"751",52.5455
"752",40.80625
"753",22.5015
"754",22.3505
"755",44.14
"756",43.19875
"757",35.6005
"758",34.94325
"759",33.9215
"760",34.08625
"761",33.5095
"762",29.67525
"763",29.108
"764",29.78675
"765",29.962
"766",30.249
"767",29.01975
"768",28.89825
"769",29.0895
"770",29.283
"771",23.6735
"772",25.0675
"773",25.5735
"774",25.40025
"775",24.8985
"776",25.6895
"777",27.75425
"778",28.2425
"779",28.54
"780",28.9085
"781",29.9205
"782",28.63775
"783",28.863
"784",28.6915
"785",29.3135
"786",29.69625
"787",28.904
"788",28.5975
"789",28.74525
"790",29.5815
"791",29.3595
"792",28.911
"793",30.1155
"794",30.741
"795",28.923
"796",30.75525
"797",28.56675
"798",28.21425
"799",28.58625
"800",27.2275
"801",26.55125
"802",25.70575
"803",24.18975
"804",24.7885
"805",25.761
"806",25.36875
"807",26.8755
"808",27.186
"809",24.96
"810",27.40975
"811",28.06825
"812",28.41625
"813",27.75375
"814",27.769
"815",25.53175
"816",25.86625
"817",22.8595
"818",22.42325
"819",22.52325
"820",22.8145
"821",23.437
"822",23.8855
"823",23.3185
"824",29.01325
"825",29.81375
"826",33.6805
"827",35.3735
"828",36.776
"829",29.79675
"830",29.969
"831",30.6155
"832",30.14025
"833",30.73375
"834",32.163
"835",32.5335
"836",31.7985
"837",32.766
"838",35.088
"839",33.4675
"840",34.529
"841",35.9625
"842",33.8995
"843",34.3095
