"","x"
"110",-0.802013812307361
"111",-0.382956033940812
"112",0.370418696681558
"113",0.267025905656232
"114",0.212590316424102
"115",0.0851332444196281
"116",-0.206259202445103
"117",-0.198331429590429
"118",0.347288365895416
"119",0.550060364526216
"120",0.628538632234235
"121",0.0288493211339506
"122",-0.301187708956819
"123",-0.492790685623708
"124",-0.635469471672589
"125",-0.707812985972289
"126",-0.769120379225431
"127",-0.799236119298693
"128",-0.797968525752403
"129",-0.806753172602776
"130",-0.806000646870085
"131",-0.780570341981403
"132",-0.77618112407822
"133",-0.762947396252743
"134",-0.573924579778679
"135",0.178077468743539
"136",0.605045100932564
"137",0.594080072376913
"138",0.497377978807018
"139",0.378309410699082
"140",-0.0698331232878956
"141",-0.36922407362732
"142",-0.273395709850911
"143",-0.453950721199201
"144",-0.553089197172181
"145",-0.67769683852102
"146",-0.750680318600191
"147",-0.694445759393918
"148",-0.683519509003711
"149",-0.702967296290026
"150",-0.708653387820805
"151",-0.661351528946582
"152",-0.719660709852255
"153",-0.757158649165397
"154",-0.759216771732015
"155",-0.777712833646134
"156",-0.773500228716466
"157",-0.771970958919631
"158",-0.742938551929077
"159",-0.734702545312322
"160",-0.703761520506209
"161",-0.383354105253796
"162",0.44431955436496
"163",0.534017802036665
"164",0.589873169168769
"165",0.692138587632321
"166",0.755775995293689
"167",0.669599518453884
"168",0.609411305284493
"169",0.597020175227359
"170",0.532790940994617
"171",0.629954412414602
"172",0.717008579010526
"173",0.742902366083332
"174",0.297648894643996
"175",0.175290196826569
"176",-0.00452426532869626
"177",-0.102270068067458
"178",-0.246693693952288
"179",-0.562334574343922
"180",-0.675953721099976
"181",-0.707307023343792
"182",-0.758820282255707
"183",-0.744113955173969
"184",-0.766864616004937
"185",-0.569818524993281
"186",0.00208420123091134
"187",-0.106072289333222
"188",-0.427258504768436
"189",-0.645702852228219
"190",-0.567360530870888
"191",0.347565040544073
"192",0.304653209525707
"193",0.0392710859434629
"194",-0.501242893844116
"195",-0.660555538689484
"196",-0.685256523237146
"197",-0.661414141060968
"198",-0.564173976343796
"199",-0.602723662781927
"200",-0.60637786470966
"201",-0.632056738754008
"202",-0.664767651077644
"203",-0.704799945647444
"204",-0.73571702120543
"205",-0.743163666879037
"206",-0.667349197295667
"207",-0.717731105108098
"208",-0.696817667659665
"209",-0.530364690492777
"210",0.528801077844579
"211",0.540720693344148
"212",0.189643124193744
"213",-0.0704284814643513
"214",-0.0421314442383874
"215",0.51414179335946
"216",0.766341160283751
"217",0.712083662370802
"218",0.543062071480889
"219",0.131558279235559
"220",-0.199597127026136
"221",-0.457692038049858
"222",-0.659992613664438
"223",-0.733192396082676
"224",-0.719769445963773
"225",-0.669221978666443
"226",-0.716948080297354
"227",-0.723809206513079
"228",-0.802461750953917
"229",-0.807957199827042
"230",-0.813474681642757
"231",-0.575426464506163
"232",-0.647212037155254
"233",-0.565603248073518
"234",-0.451116357731518
"235",-0.326565504283288
"236",-0.195426908018032
"237",-0.142201070437148
"238",-0.291142685265363
"239",-0.46735939107105
"240",-0.554113144299754
"241",-0.495549747411578
"242",-0.22741893613143
"243",-0.196883268878538
"244",-0.387754446287902
"245",-0.636410641719186
"246",-0.792968655787804
"247",-0.739643683381957
"248",-0.699196627075556
"249",-0.654263196855955
"250",-0.45348982525058
"251",0.0595507537633177
"252",0.544650552204423
"253",0.730738767374484
"254",0.654516752707619
"255",0.584345487472961
"256",0.400239917551695
"257",0.103671503445477
"258",0.103537275873009
"259",0.018032674175967
"260",0.00874678676067183
"261",0.138303225891588
"262",0.149480304859511
"263",0.218311718613795
"264",0.521389721812846
"265",0.0955772941928966
"266",-0.268268685330015
"267",-0.474115382396669
"268",0.0357887303853993
"269",-0.423869216674523
"270",-0.614284852003287
"271",-0.754879606695204
"272",-0.657274257825933
"273",-0.691689738083012
"274",-0.71616217905004
"275",-0.721138194547
"276",-0.0772255999235447
"277",-0.284141729294069
"278",-0.526221890182965
"279",-0.593455014958268
"280",-0.493950994392169
"281",-0.61563253941836
"282",-0.634331150221489
"283",0.0671733065515607
"284",-0.349327839112349
"285",-0.586192460505314
"286",-0.674659876324421
"287",-0.726569926579993
"288",-0.754447075435872
"289",-0.73004311931161
"290",-0.433956833120931
"291",-0.338761870089412
"292",0.310057157207278
"293",0.0659485948076722
"294",-0.0701340103096506
"295",-0.233768382477001
"296",-0.371366768108424
"297",-0.323735824028951
"298",-0.638635537119846
"299",-0.635922532570036
"300",-0.615049318879693
"301",-0.613024297389029
"302",-0.48823288109122
"303",-0.237443642448157
"304",-0.0999661841832242
"305",0.0729372682772032
"306",0.0322570678421579
"307",0.168808727865999
"308",-0.0606652204645319
"309",-0.327859018183641
"310",-0.541327766219698
"311",-0.54535318251138
"312",-0.571692081845219
"313",-0.737083282078161
"314",-0.752763565972604
"315",-0.72523179173464
"316",-0.712031690633254
"317",-0.659558824941231
"318",-0.58578273568117
"319",-0.609200093053516
"320",-0.593024534990112
"321",-0.627119517140418
"322",-0.649310237539867
"323",-0.132609569794442
"324",-0.0580675830785108
"325",-0.269581572588183
"326",0.42472895615405
"327",0.0705316276491933
"328",-0.0717843360184651
"329",-0.195234367195142
"330",-0.246825344726595
"331",-0.088276966943247
"332",-0.549191195676322
"333",-0.561644253022732
"334",-0.599270657285226
"335",-0.619953303955519
"336",-0.66043426228174
"337",-0.510252096329911
"338",-0.486754349270246
"339",0.238019804566401
"340",0.214424291093549
"341",0.0748964792606088
"342",-0.333402072810582
"343",-0.478499556084584
"344",-0.592611061689908
"345",-0.586746444569691
"346",-0.591290040299418
"347",-0.48480852090823
"348",-0.523584002279333
"349",-0.182475077858745
"350",0.055056438334459
"351",0.130489439661204
"352",-0.244527378761399
"353",-0.219878272458223
"354",0.289548833900339
"355",0.197145191240111
"356",0.436745028185229
"357",0.745027277767822
"358",0.638054768174861
"359",0.454738055137174
"360",0.117336790451954
"361",-0.568069492491767
