,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr
548,2019-03-11,2747.6101,2784.0,2747.6101,2783.3,2783.3,3749030000.0,0.0,1.0,27.74,41.16,42.56,11.25,0.152364698097057
549,2019-03-12,2787.3401,2798.3201,2786.73,2791.52,2791.52,3414230000.0,0.0,1.0,29.64,37.38,44.24,11.85,-0.223310379629553
550,2019-03-13,2799.78,2821.24,2799.78,2810.9199,2810.9199,3766150000.0,0.0,1.0,33.06,39.48,39.2,12.3,-0.18383027379387804
551,2019-03-14,2810.3799,2815.0,2803.46,2808.48,2808.48,3469730000.0,0.0,1.0,25.84,37.8,42.00000000000001,12.0,-0.0500628392504473
552,2019-03-15,2810.79,2830.73,2810.79,2822.48,2822.48,5962730000.0,0.0,1.0,26.6,36.96,45.36000000000001,13.35,-0.0758420523099255
553,2019-03-18,2822.6101,2835.4099,2821.99,2832.9399,2832.9399,3552190000.0,0.0,1.0,28.5,37.8,41.25,14.45,0.226283256394184
554,2019-03-19,2840.76,2852.4199,2823.27,2832.5701,2832.5701,3620220000.0,0.0,1.0,33.82,39.48,41.25,14.45,0.461470483639544
555,2019-03-20,2831.3401,2843.54,2812.4299,2824.23,2824.23,3771200000.0,0.0,1.0,30.02,39.06,41.8,14.96,0.49865835228749106
556,2019-03-21,2819.72,2860.3101,2817.3799,2854.8799,2854.8799,3546800000.0,0.0,1.0,28.5,37.38,41.25,14.28,0.5348111402811729
557,2019-03-22,2844.52,2846.1599,2800.47,2800.71,2800.71,4237200000.0,0.0,1.0,28.5,39.48,44.55,15.47,0.515625978722594
558,2019-03-25,2796.01,2809.79,2785.02,2798.3601,2798.3601,3376580000.0,0.0,1.0,35.26,37.38,40.32000000000001,13.6,0.483818942904573
559,2019-03-26,2812.6599,2829.8701,2803.99,2818.46,2818.46,3266050000.0,0.0,1.0,41.0,40.32,42.00000000000001,12.96,0.379594124267804
560,2019-03-27,2819.72,2825.5601,2787.72,2805.3701,2805.3701,3372930000.0,0.0,1.0,36.49,42.0,40.32000000000001,11.04,0.29848642922905894
561,2019-03-28,2809.3999,2819.71,2798.77,2815.4399,2815.4399,3158170000.0,0.0,1.0,35.66999999999999,36.54,43.68000000000001,12.64,-0.097144178088606
562,2019-03-29,2828.27,2836.03,2819.23,2834.3999,2834.3999,3740700000.0,0.0,1.0,30.75,36.12,43.12000000000001,12.48,0.049749147282004996
563,2019-04-01,2848.6299,2869.3999,2848.6299,2867.1899,2867.1899,3500760000.0,0.0,1.0,31.82,39.77,40.7,9.38,0.0863747679633268
564,2019-04-02,2868.24,2872.8999,2858.75,2867.24,2867.24,3246900000.0,0.0,1.0,37.84,39.77,43.45,10.080000000000002,-0.51402181849116
565,2019-04-03,2876.0901,2885.25,2865.1699,2873.3999,2873.3999,3550240000.0,0.0,1.0,35.26,40.59,42.90000000000001,11.2,-0.5477604485886179
566,2019-04-04,2873.99,2881.28,2867.1399,2879.3899,2879.3899,3015180000.0,0.0,1.0,35.69,39.77,44.55,11.2,-0.447823290405526
567,2019-04-05,2884.1599,2893.24,2882.99,2892.74,2892.74,3146820000.0,0.0,1.0,30.96,39.77,46.75000000000001,12.04,-0.41376621944554903
568,2019-04-08,2888.46,2895.95,2880.78,2895.77,2895.77,3054030000.0,0.0,1.0,37.8,40.0,41.58000000000001,9.1,-0.2219416389595
569,2019-04-09,2886.5801,2886.8799,2873.3301,2878.2,2878.2,3007980000.0,0.0,1.0,40.05,39.2,41.58000000000001,8.84,-0.5709902639707459
