date,date,open_tsla,high_tsla,low_tsla,tsla_price,tsla_adj,volume_tsla,divid,split coef,tesla,musk,elon
2018-04-11,2018-04-11,300.7403,308.98,299.66,300.93,300.93,7482945.0,0.0,1.0,10.8,3.48,4.2700000000000005
2018-04-12,2018-04-12,302.32,303.95,293.68,294.08,294.08,7608769.0,0.0,1.0,10.98,3.9,4.550000000000002
2018-04-13,2018-04-13,303.6,303.9499,295.98,300.34,300.34,7327223.0,0.0,1.0,10.8,4.14,5.11
2018-04-16,2018-04-16,299.0,299.66,289.01,291.21,291.21,6338488.0,0.0,1.0,10.8,3.18,5.250000000000001
2018-04-17,2018-04-17,288.87,292.17,282.51,287.69,287.69,7000023.0,0.0,1.0,12.06,3.36,5.040000000000001
2018-04-18,2018-04-18,291.08,300.24,288.16,293.35,293.35,6557700.0,0.0,1.0,10.8,3.54,4.69
2018-04-19,2018-04-19,291.08,301.01,288.55,300.08,300.08,6090599.0,0.0,1.0,10.44,4.2,5.1800000000000015
2018-04-20,2018-04-20,295.17,299.98,289.75,290.24,290.24,5627928.0,0.0,1.0,10.08,2.64,3.640000000000001
2018-04-23,2018-04-23,291.29,291.62,282.33,283.37,283.37,4893378.0,0.0,1.0,10.03,3.0500000000000003,3.6
2018-04-24,2018-04-24,285.0,287.09,278.46,283.46,283.46,5685308.0,0.0,1.0,9.35,2.3000000000000003,2.94
2018-04-25,2018-04-25,283.5,285.16,277.25,280.69,280.69,4013574.0,0.0,1.0,9.35,2.9000000000000004,3.72
2018-04-26,2018-04-26,278.75,285.79,276.5,285.48,285.48,4356013.0,0.0,1.0,9.69,3.0500000000000003,4.02
2018-04-27,2018-04-27,285.37,294.47,283.83,294.075,294.075,4364626.0,0.0,1.0,9.01,2.5500000000000003,3.3
2018-04-30,2018-04-30,293.61,298.73,292.5,293.9,293.9,4228172.0,0.0,1.0,12.1,3.850000000000001,5.04
2018-05-01,2018-05-01,293.51,300.82,293.22,299.92,299.92,4625603.0,0.0,1.0,12.32,0.8400000000000001,1.12
2018-05-02,2018-05-02,298.57,306.85,297.7844,301.15,301.15,8970370.0,0.0,1.0,16.5,1.05,1.28
2018-05-03,2018-05-03,278.79,288.04,275.23,284.45,284.45,17352130.0,0.0,1.0,22.0,1.96,2.4
2018-05-04,2018-05-04,283.0,296.86,279.52,294.09,294.09,8569354.0,0.0,1.0,15.4,1.4700000000000002,1.68
2018-05-07,2018-05-07,297.5,305.9588,295.17,302.77,302.77,8678224.0,0.0,1.0,13.65,5.6000000000000005,5.6000000000000005
2018-05-08,2018-05-08,300.7953,307.75,299.0,301.97,301.97,5930000.0,0.0,1.0,13.86,20.0,20.0
