,date,open_tsla,high_tsla,low_tsla,tsla_price,tsla_adj,volume_tsla,divid,split coef,tesla,musk,elon,dynamic_corr,tesla_gen_trend
375,2019-07-02,228.89,229.15,222.22,224.55,224.55,9259027.0,0.0,1.0,20.28,1.32,1.76,-0.748784805919863,22.04000000000001
376,2019-07-03,239.39,241.57,234.51,234.9,234.9,14201148.0,0.0,1.0,23.14,1.6,1.64,-0.7309164858906441,24.78
377,2019-07-05,234.57,235.45,230.8,233.1,233.1,7065738.0,0.0,1.0,18.72,1.56,1.6,-0.7490774659274391,20.32
378,2019-07-08,231.24,232.25,228.66,230.34,230.34,5880542.0,0.0,1.0,15.84,1.65,1.85,-0.6828687249544829,17.69
379,2019-07-09,228.97,231.0,227.28,230.06,230.06,6190835.0,0.0,1.0,16.08,1.95,2.35,-0.531283698388471,18.43
380,2019-07-10,234.15,238.94,233.14,238.92,238.92,9145736.0,0.0,1.0,18.24,2.2,2.5,-0.4481854124715071,20.74
381,2019-07-11,238.14,241.5,235.8,238.6,238.6,7514430.0,0.0,1.0,17.28,1.95,2.25,-0.4731056083249389,19.53
382,2019-07-12,239.75,245.38,239.71,245.08,245.08,9200521.0,0.0,1.0,16.32,2.25,2.7,-0.439901505456981,19.02
383,2019-07-15,248.0,254.42,244.86,253.5,253.5,11000092.0,0.0,1.0,17.25,4.5600000000000005,3.78,-0.405615652792553,21.03
384,2019-07-16,249.3,253.53,247.9325,252.38,252.38,8148989.0,0.0,1.0,18.75,4.24,3.99,-0.498100227497641,22.74
385,2019-07-17,255.67,258.31,253.35,254.86,254.86,9764727.0,0.0,1.0,19.5,8.0,7.000000000000001,-0.589593468142548,26.5
386,2019-07-18,255.05,255.75,251.885,253.54,253.54,4764483.0,0.0,1.0,18.0,6.96,6.23,-0.6433519558838989,24.23
387,2019-07-19,255.69,259.96,254.62,258.18,258.18,7048410.0,0.0,1.0,18.5,5.36,5.670000000000001,-0.6809884300792839,24.17
388,2019-07-22,258.75,262.155,254.1911,255.68,255.68,6846273.0,0.0,1.0,19.32,3.42,4.08,-0.7082537696737391,23.4
389,2019-07-23,256.71,260.48,254.5,260.17,260.17,5023121.0,0.0,1.0,20.44,2.58,3.12,-0.718548677598443,23.56
390,2019-07-24,259.17,266.07,258.1601,264.88,264.88,11072835.0,0.0,1.0,26.320000000000004,2.88,3.24,-0.7322029539825771,29.56
391,2019-07-25,233.5,234.5,225.5501,228.82,228.82,22418252.0,0.0,1.0,28.000000000000004,2.94,3.9,-0.750511499194965,31.9
392,2019-07-26,226.92,230.26,222.25,228.04,228.04,10027697.0,0.0,1.0,22.12,3.3,3.66,-0.804655418458838,25.78
393,2019-07-29,227.09,235.94,226.0325,235.77,235.77,9273331.0,0.0,1.0,16.32,2.25,2.3000000000000003,-0.8008258894306279,18.62
394,2019-07-30,232.9,243.36,232.18,242.26,242.26,8109014.0,0.0,1.0,17.759999999999994,2.2,2.95,-0.7300125253581479,20.709999999999994
395,2019-07-31,243.0,246.68,236.6501,241.61,241.61,9178208.0,0.0,1.0,17.28,2.1,2.6,-0.707796196927898,19.880000000000006
396,2019-08-01,242.65,244.51,231.77,233.85,233.85,8259516.0,0.0,1.0,21.12,3.5,2.95,-0.660725285753441,24.07
397,2019-08-02,231.35,236.27,229.23,234.34,234.34,6136481.0,0.0,1.0,22.56,2.75,3.5500000000000003,-0.7182665597907579,26.11
398,2019-08-05,229.6,231.3673,225.775,228.32,228.32,7028279.0,0.0,1.0,20.47,2.24,3.1500000000000004,-0.7499937189565641,23.62
399,2019-08-06,231.88,232.5,225.75,230.75,230.75,5564200.0,0.0,1.0,20.7,2.52,3.25,-0.750391233109848,23.95
400,2019-08-07,226.5,233.5688,225.8,233.42,233.42,4776500.0,0.0,1.0,20.24,2.6,4.25,-0.7672316306293571,24.49
401,2019-08-08,234.45,239.8,232.65,238.3,238.3,5274349.0,0.0,1.0,19.55,2.56,3.25,-0.784276765550874,22.8
402,2019-08-09,236.0535,238.96,233.81,235.01,235.01,3898244.0,0.0,1.0,19.78,2.4,2.75,-0.7828053943481029,22.53
403,2019-08-12,232.99,235.77,228.75,229.01,229.01,4663937.0,0.0,1.0,21.16,3.6,5.4,-0.7820527858076378,26.56
404,2019-08-13,228.81,236.0,227.55,235.0,235.0,4868998.0,0.0,1.0,19.55,3.95,4.98,-0.802774632357604,24.53
405,2019-08-14,231.21,231.5,216.69,219.62,219.62,9562591.0,0.0,1.0,20.24,3.25,4.62,-0.812084013508624,24.86
406,2019-08-15,220.86,221.56,211.55,215.64,215.64,8231952.0,0.0,1.0,20.47,3.3000000000000003,4.44,-0.8248755821662241,24.91
407,2019-08-16,216.66,222.24,216.02,219.94,219.94,5207376.0,0.0,1.0,20.24,3.65,4.5,-0.836381824082935,24.74
408,2019-08-19,224.21,227.83,221.7,226.83,226.83,5311748.0,0.0,1.0,22.08,3.25,4.68,-0.8440320150335291,26.76
409,2019-08-20,227.62,229.09,224.54,225.86,225.86,4170527.0,0.0,1.0,21.16,3.5,4.62,-0.849727173956108,25.78
410,2019-08-21,222.01,223.22,217.6,220.83,220.83,7799744.0,0.0,1.0,22.08,4.0,5.22,-0.8573581750694549,27.3
411,2019-08-22,222.8,225.4,218.22,222.15,222.15,6564964.0,0.0,1.0,21.39,4.3500000000000005,5.16,-0.8694493913639809,26.55
412,2019-08-23,219.97,221.17,211.0,211.4,211.4,8559704.0,0.0,1.0,20.93,4.3,5.16,-0.875313878856124,26.09
413,2019-08-26,213.6,215.02,211.54,215.0,215.0,5054414.0,0.0,1.0,17.22,3.65,4.5,-0.879268080723655,21.72
414,2019-08-27,215.74,218.8,212.03,214.08,214.08,5420727.0,0.0,1.0,16.59,4.3500000000000005,6.0,-0.8527847878052349,22.59
415,2019-08-28,213.69,217.25,212.31,215.59,215.59,3223082.0,0.0,1.0,17.849999999999994,3.75,5.58,-0.8581446819708809,23.43
416,2019-08-29,219.0,223.4,218.0,221.71,221.71,5183104.0,0.0,1.0,19.53,3.8,5.7,-0.8625763213835379,25.23
417,2019-08-30,229.15,232.44,224.213,225.61,225.61,9327775.0,0.0,1.0,18.48,3.8,5.52,-0.8671180020020122,24.0
418,2019-09-03,224.08,228.95,223.16,225.01,225.01,5360546.0,0.0,1.0,15.62,1.84,3.96,-0.861878334223725,19.58
419,2019-09-04,226.89,228.46,219.205,220.68,220.68,5768696.0,0.0,1.0,16.5,2.0,3.9,-0.756912589981896,20.4
420,2019-09-05,222.5,229.8,220.85,229.58,229.58,7403322.0,0.0,1.0,15.18,2.04,4.2,-0.693722175121952,19.38
421,2019-09-06,227.2,229.64,225.17,227.45,227.45,4189372.0,0.0,1.0,14.96,2.24,3.96,-0.6125289671295239,18.92
422,2019-09-09,230.0,233.76,229.23,231.79,231.79,4802669.0,0.0,1.0,15.84,2.12,3.25,-0.5098110748263471,19.09
423,2019-09-10,230.8,235.54,228.94,235.54,235.54,4883714.0,0.0,1.0,17.6,2.52,3.1500000000000004,-0.426550297253791,20.75
424,2019-09-11,237.38,248.1741,236.0,247.1,247.1,10042777.0,0.0,1.0,16.5,2.2,3.2,-0.452956892759336,19.7
425,2019-09-12,247.7,253.5,244.4,245.87,245.87,8581210.0,0.0,1.0,17.6,2.12,3.3000000000000003,-0.41268204209891296,20.9
426,2019-09-13,246.96,248.45,244.865,245.2,245.2,5313145.0,0.0,1.0,16.06,2.24,3.2,-0.43377735352862,19.26
427,2019-09-16,246.0,247.43,241.17,242.81,242.81,4728096.0,0.0,1.0,16.330000000000002,3.0500000000000003,4.02,-0.3561977984651429,20.35
428,2019-09-17,242.47,245.6,240.37,244.79,244.79,3946909.0,0.0,1.0,16.330000000000002,3.35,4.2,-0.40846979257059707,20.53
429,2019-09-18,245.0,248.1685,242.37,243.49,243.49,4228103.0,0.0,1.0,17.94,2.7,3.66,-0.46513791959514,21.6
