"","crisis_trend + job_trend + loan_trend + unemploy_trend + default_trend + "
"657",361.93
"658",282.95
"659",359.67
"660",374.1
"661",357.09
"662",354.97
"663",279.14
"664",349.21
"665",356.08
"666",368.19
"667",358.62
"668",300.94
"669",370.64
"670",365.35
"671",360.74
"672",313.36
"673",286.69
"674",325.44
"675",328.47
"676",319.46
"677",327.47
"678",275.59
"679",324.21
"680",333.99
"681",331.81
"682",324.89
"683",245.14
"684",321.58
"685",313.72
"686",329.73
"687",325.99
"688",239.78
"689",307.72
"690",316.37
"691",307.54
"692",312.09
"693",307.41
"694",312.84
"695",361.45
"696",381.44
"697",393.04
"698",289.42
"699",367.83
"700",391.82
"701",394.52
"702",385.68
"703",282.68
"704",379.51
"705",381.26
"706",375.45
"707",373.8
"708",277.86
"709",377.99
"710",384.82
"711",379.47
"712",374.93
"713",271.89
"714",358.38
"715",396.89
"716",402.02
"717",392.58
"718",283.04
"719",381.36
"720",378.71
"721",391.12
"722",375.16
"723",278.29
"724",385.4
"725",403.84
"726",390.36
"727",390.38
"728",301.25
"729",378.77
"730",399.07
"731",394.21
"732",379.17
"733",280.42
"734",370.61
"735",374.78
"736",368.23
"737",345.2
"738",286.65
"739",388.69
"740",395.93
"741",393.94
"742",397.46
"743",283.01
"744",347.04
"745",369.87
"746",378.77
"747",377.83
"748",287.51
"749",392.91
"750",399.66
"751",407.86
"752",392.18
"753",238.43
"754",301.02
"755",311
"756",270
"757",200.78
"758",234.72
"759",311.57
"760",343.43
"761",353.51
"762",335.1
"763",272.2
"764",386.59
"765",395.64
"766",414.47
"767",378.49
"768",235.08
"769",287.5
"770",289.4
"771",287.99
"772",267.65
"773",183.92
"774",216.71
"775",187.98
"776",167.63
"777",211.7
"778",230.51
"779",259.2
"780",251.78
"781",214.46
"782",297.56
"783",270.81
"784",346.2
"785",352.62
"786",347.92
"787",354.28
"788",268.83
"789",353.62
"790",367.19
"791",395.55
"792",382.39
"793",271.63
"794",310.51
"795",358.81
"796",371.82
"797",379.79
"798",265.37
"799",347.11
"800",364.44
"801",363.09
"802",367.55
"803",280.68
"804",338.24
"805",375.57
"806",365.45
"807",366.96
"808",304.52
"809",375.12
"810",406.14
"811",396.99
"812",389.22
"813",314.7
"814",367.98
"815",404.55
"816",421.69
"817",406.39
"818",314.04
"819",410.16
"820",428.67
"821",396.57
"822",403.72
"823",282.11
"824",357.15
"825",365.3
"826",357.77
"827",377.24
"828",253.68
"829",330.2
"830",332.19
"831",317.79
"832",298.82
"833",256.96
"834",331.4
"835",326.1
"836",345.68
"837",344.72
"838",322.59
"839",406.99
"840",402.92
"841",405
"842",431.54
"843",417.2
"844",514.71
"845",513.27
"846",487.45
"847",499.61
"848",383.01
"849",466.17
"850",476.72
"851",451.72
"852",460.77
"853",377.95
"854",488.47
"855",476.45
"856",445.15
"857",449.73
"858",379.94
"859",454.15
"860",457.38
"861",447.92
"862",439.78
"863",371.7
"864",455.08
"865",454.6
"866",428.04
"867",421.18
"868",380.08
"869",445.03
"870",436.72
"871",426.19
"872",445.95
"873",316.75
"874",410.74
"875",401.74
"876",396.33
"877",379.02
"878",344.49
"879",398.91
"880",391.19
"881",377.58
"882",381.84
"883",338.37
"884",363.96
"885",426.72
"886",436.17
"887",437.77
"888",423.55
"889",522.69
"890",482.36
"891",486.23
"892",485.08
