,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0.1,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply,wei_dyn_corr,wei_dollar_eur_gen_trend,diff_wei_trend,absdiiff
492,2019-11-12,0.9062,0.9085,0.9056,0.9079,1045.0,35.1,22.8,43.0,3.2,79.67999999999998,22.95000000000001,22.62,82.56,57.96,12.48,20.47,11.85,69.92,83.0,27.45,43.12,-0.0472277572958142,35.723,2.6169999999999973,0.026169999999999975
493,2019-11-13,0.9079,0.9092,0.9071,0.9082,1046.0,34.71,22.8,44.0,2.92,78.02,20.520000000000003,23.49,91.2,61.11,12.74,20.24,10.8,66.88,82.17,41.48,41.8,0.159402936216641,39.699,3.9759999999999986,0.03975999999999999
494,2019-11-14,0.9081,0.9097,0.9065,0.907,1047.0,32.76,22.32,44.5,2.56,78.85,21.33,23.2,91.2,61.11,12.74,20.47,12.6,69.16,80.50999999999998,27.45,40.92,0.4114543125016671,34.869,-4.829999999999998,0.04829999999999998
495,2019-11-15,0.907,0.9076,0.9041,0.9043,1048.0,28.08,20.64,50.0,2.24,71.38,21.33,24.94,82.56,58.59,0.0,18.4,14.85,57.0,73.86999999999998,56.12,39.6,0.34516968349317,41.09,6.221000000000004,0.062210000000000036
496,2019-11-18,0.9046,0.9046,0.9015,0.9029,1051.0,40.74,22.08,44.5,4.0,75.53,22.4,24.9,97.02,61.74,6.37,19.8,11.25,71.44,80.64,29.92,45.6,0.48473058648927203,37.6,-3.490000000000002,0.03490000000000002
497,2019-11-19,0.9029,0.9036,0.9018,0.9024,1052.0,40.74,23.28,43.5,3.24,81.33999999999997,24.92,25.5,96.03,61.11,0.0,19.58,15.0,70.68,83.16,20.24,47.52,0.4595480613682079,35.586999999999996,-2.012999999999998,0.02012999999999998
498,2019-11-20,0.9022,0.9045,0.9021,0.9026,1053.0,42.0,23.04,44.5,2.92,83.0,25.20000000000001,25.2,99.0,63.0,6.63,19.36,12.15,68.4,83.16,0.0,48.0,0.39925498683122596,30.037,-5.550000000000003,0.055500000000000035
499,2019-11-21,0.9026,0.9044,0.9007,0.9038,1054.0,37.38,21.6,43.0,2.64,77.19,23.8,25.2,99.0,62.37,6.63,19.36,10.95,65.36,82.32,30.8,45.12,0.0589390235290805,36.803000000000004,6.765999999999997,0.06765999999999997
500,2019-11-22,0.9038,0.9075,0.9021,0.9073,1055.0,32.76,19.44,43.0,2.4,68.06,24.08,26.7,86.13,54.81,0.0,17.82,15.0,54.72,76.44,41.8,42.24,0.28314284091375297,37.156,0.35300000000000153,0.0035300000000000153
501,2019-11-25,0.907,0.9085,0.9061,0.9077,1058.0,25.08,14.58,34.86,2.91,53.12000000000001,23.4,23.8,68.4,54.87,0.0,13.5,12.74,45.24,66.6,25.38000000000001,32.370000000000005,0.403184163355022,26.566999999999997,-10.589,0.10589
502,2019-11-26,0.9075,0.9082,0.9065,0.9069,1059.0,28.05,14.4,35.7,2.31,59.52,21.06,24.08,66.88,59.0,0.0,13.14,10.92,42.92,65.12,38.88,31.98,-0.0946342353303932,32.135999999999996,5.569000000000003,0.055690000000000024
503,2019-11-27,0.907,0.9094,0.9068,0.9083,1060.0,24.42,12.42,32.34,1.7999999999999998,49.92,19.5,22.96,54.72,51.92,0.0,10.98,10.14,36.54,60.68,54.0,30.03,-0.0699969400695603,33.861,1.7249999999999943,0.017249999999999942
504,2019-11-28,0.9083,0.9088,0.9072,0.908,1061.0,18.81,8.28,21.0,0.72,28.8,19.5,21.840000000000003,38.76,43.07,0.0,11.16,5.07,23.78,50.32,29.160000000000004,21.45,0.0478585753897025,20.805,-13.055999999999996,0.13055999999999995
505,2019-11-29,0.908,0.9103,0.9066,0.9074,1062.0,16.830000000000002,8.64,26.04,1.05,30.08,19.5,20.72,38.0,42.48,0.0,11.34,9.36,28.42,54.76,0.0,23.01,-0.408057681261868,11.950999999999999,-8.854,0.08854
506,2019-12-02,0.9071,0.9085,0.9016,0.9025,1065.0,18.9,21.12,42.63,3.3200000000000003,67.2,27.44,18.3,84.28,28.38000000000001,20.68,19.14,14.4,73.0,81.48,54.0,43.12,-0.527936232066383,37.0575,25.1065,0.251065
507,2019-12-03,0.9026,0.9034,0.9012,0.9021,1066.0,21.06,23.04,43.61,2.72,78.4,27.160000000000004,20.4,98.0,29.04000000000001,11.0,19.8,18.0,68.62,84.0,0.0,43.12,-0.2953720389360689,23.2505,-13.807,0.13807
508,2019-12-04,0.9021,0.9033,0.8996,0.9024,1067.0,25.92,23.76,43.61,2.6,80.0,26.88000000000001,23.7,98.0,29.04000000000001,11.0,20.9,14.58,70.08,84.0,37.8,44.0,-0.3933453134609529,36.4245,13.174000000000005,0.13174000000000005
509,2019-12-05,0.9024,0.9024,0.8998,0.9004,1068.0,23.76,23.76,43.12,2.36,68.8,26.04000000000001,18.9,98.0,30.36000000000001,22.0,20.9,13.14,67.16,83.16,18.9,43.12,-0.104649822681983,28.962,-7.462500000000002,0.07462500000000002
