date,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply
2017-08-18,2017-08-18,0.8525,0.8538,0.8492,0.8498,229.0,15.34,22.680000000000003,48.06,2.2,68.85,21.3,27.3,58.8,49.28,0.0,22.75,7.67,43.55,67.64,21.78,35.26
2017-08-21,2017-08-21,0.8506,0.852,0.8452,0.8465,232.0,13.2,20.520000000000003,39.78,3.44,60.35,17.7,21.08,48.1,43.46,0.0,14.49,5.06,42.21,68.4,23.87,31.98
2017-08-22,2017-08-22,0.8465,0.851,0.8454,0.8498,233.0,14.88,25.65,45.9,3.12,76.5,17.4,22.32,58.5,46.64,0.0,16.8,5.5,50.4,71.44,0.0,38.13
2017-08-23,2017-08-23,0.8498,0.8513,0.8454,0.8464,234.0,16.56,25.11000000000001,43.86,2.76,81.6,18.9,22.63,61.1,50.88,27.0,15.96,6.2700000000000005,51.03,73.72,37.73,36.08
2017-08-24,2017-08-24,0.8463,0.8483,0.8459,0.847,235.0,15.6,23.49,41.82,2.4,80.75,21.0,20.46,57.85,48.76000000000001,40.5,14.91,7.7,46.62,72.2,24.64,37.31
2017-08-25,2017-08-25,0.8469,0.8490000000000001,0.8375,0.8382,236.0,16.8,21.06,41.82,2.16,71.39999999999998,20.1,22.32,54.6,48.23,0.0,15.75,6.38,39.06,66.88,0.0,31.98
2017-08-28,2017-08-28,0.8364,0.8388,0.8342,0.8352,239.0,23.87,22.95000000000001,41.5,3.84,72.21,27.20000000000001,21.76,55.9,51.15000000000001,65.0,12.92,6.2700000000000005,51.2,70.68,13.44,37.8
2017-08-29,2017-08-29,0.8353,0.8367,0.8283,0.8349,240.0,27.28,24.840000000000003,44.0,3.4,83.52,25.500000000000004,22.4,59.8,52.8,31.85,13.49,6.71,51.84,72.2,39.9,38.64
2017-08-30,2017-08-30,0.8349,0.8414,0.8341,0.8404,241.0,26.35,25.11000000000001,42.5,3.28,77.42999999999998,23.46,24.64,63.7,53.90000000000001,0.0,13.3,6.93,53.76,76.0,13.44,39.9
2017-08-31,2017-08-31,0.8404,0.8455,0.8383,0.8392,242.0,31.0,23.22,40.5,2.88,80.91,24.48,25.6,62.40000000000001,52.25000000000001,48.1,13.68,8.91,48.0,72.96000000000002,26.88,39.48
2017-09-01,2017-09-01,0.8392,0.8435,0.8349,0.843,243.0,22.94,22.14,47.5,2.8000000000000003,71.34,30.26,26.56,43.55,39.6,34.45,10.83,7.26,49.92,63.08,0.0,33.18
2017-09-04,2017-09-04,0.8416,0.8416,0.8385,0.8402,246.0,17.689999999999994,19.24,34.04,2.64,37.92,27.2,30.38,43.52,38.5,14.5,13.4,9.0,41.61,60.68,0.0,29.82
2017-09-05,2017-09-05,0.8402,0.8421,0.8374,0.8386,247.0,21.46,23.92,45.08000000000001,3.96,70.31,24.0,22.63,48.96,42.90000000000001,12.5,11.8,7.8,54.15,65.86,0.0,37.38
2017-09-06,2017-09-06,0.8386,0.8398,0.8366,0.8383,248.0,20.59,24.44,42.32,3.28,72.68,24.32,21.39,49.64,39.6,0.0,10.8,8.4,51.87,66.6,0.0,37.38
2017-09-07,2017-09-07,0.8383,0.8390000000000001,0.8295,0.8317,249.0,20.3,24.18,42.32,2.76,72.68,23.04,22.32,54.40000000000001,40.15000000000001,12.5,11.0,7.68,49.02,66.6,19.14,34.44
2017-09-08,2017-09-08,0.8318,0.8319,0.8268,0.8306,250.0,20.3,21.06,40.94000000000001,2.4,63.2,23.04,21.08,44.88,35.2,12.5,10.6,6.359999999999999,40.47,61.42,19.14,31.5
2017-09-11,2017-09-11,0.8318,0.8367,0.8311,0.8357,253.0,23.4,27.160000000000004,45.57,3.68,78.26,35.52,25.28,51.83,41.61,13.4,11.4,8.25,51.24,70.2,16.169999999999998,39.1
2017-09-12,2017-09-12,0.8357,0.8382,0.8346,0.8351,254.0,23.1,28.000000000000004,46.55,3.24,79.12,30.34,25.28,54.75,41.61,20.0,11.6,9.02,54.9,73.32000000000002,47.53,42.78
2017-09-13,2017-09-13,0.8351,0.8419,0.8335,0.8407,255.0,23.1,27.72,47.53,3.0,84.28,32.19,24.0,59.86,45.03,0.0,11.6,5.5,59.17,74.88,31.85,42.78
2017-09-14,2017-09-14,0.8405,0.8442,0.8385,0.8385,256.0,23.7,27.72,48.51,2.76,84.28,33.3,25.6,59.86,44.46,0.0,12.0,7.26,54.9,74.88,16.169999999999998,43.7
2017-09-15,2017-09-15,0.8388,0.84,0.8341,0.8369,257.0,19.2,24.92,48.51,2.4,74.82,29.97,30.08,55.48,41.61,10.4,12.8,7.26,49.41,72.54,16.66,40.48
2017-09-18,2017-09-18,0.8371,0.8389,0.8353,0.8361,260.0,24.96,26.46,45.6,4.0,72.25,28.0,27.06,62.41,44.66,27.0,16.8,8.03,61.11,75.2,27.06,44.62000000000001
2017-09-19,2017-09-19,0.8361,0.8361,0.8327,0.8334,261.0,28.48,26.73,48.0,3.24,76.5,32.2,27.06,66.36,45.82,0.0,17.28,8.25,63.0,79.2,0.0,46.0
2017-09-20,2017-09-20,0.8335,0.8427,0.8316,0.8408,262.0,29.76,27.0,47.52,3.0,85.0,29.05,26.07,67.94,45.82,0.0,17.28,8.14,58.59,77.60000000000002,13.53,41.86
2017-09-21,2017-09-21,0.8408,0.8424,0.8364,0.8372,263.0,26.88,25.65,43.2,2.68,78.2,29.75,25.74,69.52000000000001,44.08,27.54000000000001,17.52,7.81,57.33,77.60000000000002,0.0,43.24
2017-09-22,2017-09-22,0.8372,0.8373,0.8329,0.8365,264.0,25.28,23.22,42.72,2.32,73.95,30.8,27.72,60.83000000000001,41.18,28.08,18.0,7.48,48.51,72.8,0.0,38.64
2017-09-25,2017-09-25,0.8385,0.8448,0.8374,0.8433,267.0,30.96,25.11000000000001,46.55,3.88,85.54,26.73,29.92,76.56,60.3,25.5,28.000000000000004,11.7,62.37,76.14,0.0,44.62000000000001
2017-09-26,2017-09-26,0.8432,0.8501,0.8428,0.8478,268.0,33.84,26.73,48.51,3.2,90.09,27.06,27.88000000000001,79.2,63.65000000000001,25.0,24.92,10.53,59.22,81.0,23.43,44.16
2017-09-27,2017-09-27,0.8479,0.8532,0.8476,0.8514,269.0,36.0,26.46,46.55,2.92,89.18,30.69,31.28,88.0,67.0,0.0,22.4,13.0,57.96,79.38000000000002,0.0,40.94000000000001
2017-09-28,2017-09-28,0.8513,0.8531,0.8471,0.8485,270.0,32.76,25.65,46.55,2.8000000000000003,88.27,28.71,31.96,88.0,59.63,25.5,22.96,11.96,55.44,77.76,71.0,42.32
2017-09-29,2017-09-29,0.8486,0.8492,0.8449,0.8461,271.0,26.28,22.41,47.04,2.44,80.99000000000002,27.06,29.24,75.68,52.93,26.0,21.000000000000004,5.98,47.25,72.09,24.14,37.72
2017-10-02,2017-10-02,0.8464,0.8522,0.8464,0.8516,274.0,25.74,22.62,42.3,3.6,75.68,30.24,33.660000000000004,65.57,52.54,23.52,18.4,5.25,54.9,70.31,0.0,42.77
2017-10-03,2017-10-03,0.8516,0.8547,0.8493,0.8513,275.0,26.52,24.44,45.59,3.12,76.56,30.6,28.9,74.7,58.46,48.02,18.630000000000006,4.5,55.51,75.05,10.56,44.18
2017-10-04,2017-10-04,0.8513,0.8514,0.8482,0.85,276.0,29.64,24.18,45.12,2.88,88.0,34.92,27.54000000000001,71.38,74.0,32.34,19.55,5.0,53.68,75.05,10.56,44.18
2017-10-05,2017-10-05,0.85,0.8544,0.8487,0.8537,277.0,26.13000000000001,24.44,43.71,2.68,76.56,33.48,28.56,71.38,59.2,0.0,20.01,6.25,52.46,75.05,21.45,43.71
2017-10-06,2017-10-06,0.8537,0.8563,0.8516,0.8523,278.0,20.28,21.58,41.83,2.56,70.4,31.68,25.500000000000004,61.42,49.58,0.0,18.4,19.5,44.53,69.52000000000001,33.0,38.07
2017-10-09,2017-10-09,0.8516,0.853,0.8504,0.8515,281.0,20.65,24.3,43.2,3.64,69.6,29.4,25.28,78.32000000000002,39.69,0.0,22.62,9.43,55.8,73.32000000000002,18.24,40.94000000000001
2017-10-10,2017-10-10,0.8514,0.8515,0.8456,0.8464,282.0,21.7,25.65,45.6,3.52,77.42999999999998,31.5,21.12,77.44,39.69,0.0,25.74,9.66,57.66,74.10000000000002,18.24,44.16
2017-10-11,2017-10-11,0.8464,0.8475,0.8422,0.8427,283.0,19.6,27.0,46.56,3.0,77.42999999999998,31.15,23.68,80.08,39.69,22.0,25.22,6.9,57.04,74.88,18.81,46.0
2017-10-12,2017-10-12,0.8427,0.8453,0.8415,0.8447,284.0,22.4,24.3,44.16,2.76,78.3,32.55,23.68,78.32000000000002,39.69,0.0,26.0,5.98,54.56,73.32000000000002,0.0,43.7
2017-10-13,2017-10-13,0.8447,0.8468,0.8419,0.8457,285.0,19.95,22.68,45.12,2.6,74.82,28.0,22.72,75.68,37.17,0.0,24.18,4.83,45.88,67.86,18.81,38.18
2017-10-16,2017-10-16,0.8467,0.8485,0.8457,0.8478,288.0,23.68,25.11000000000001,46.08,3.92,72.24,27.88000000000001,27.20000000000001,82.8,39.68,27.0,24.44,3.3,62.72,78.57000000000002,21.12,44.1
2017-10-17,2017-10-17,0.8477,0.8517,0.8476,0.8495,289.0,26.64,26.73,47.52,3.36,78.26,29.58,27.54000000000001,86.4,38.44,27.0,24.7,3.0,64.0,81.0,21.78,43.65
2017-10-18,2017-10-18,0.8495,0.8522,0.8468,0.8476,290.0,24.79,26.46,45.12,2.84,79.12,27.54000000000001,27.54000000000001,81.9,40.92,36.18,24.44,3.15,60.16,79.38000000000002,0.0,40.5
2017-10-19,2017-10-19,0.8476,0.8489,0.8431,0.8438,291.0,22.94,25.11000000000001,46.08,2.8000000000000003,73.96,26.180000000000003,29.24,84.60000000000002,39.06,0.0,24.44,3.15,58.24,78.57000000000002,21.78,40.05
2017-10-20,2017-10-20,0.8437,0.8497,0.8432,0.8483,292.0,21.83,21.87,42.24,2.44,68.8,30.6,29.92,75.60000000000002,38.44,28.08,23.14,2.85,48.0,72.9,44.88,35.55000000000001
