"","0.3 * crisis_trend + 0.3 * job_trend + 0.05 * loan_trend + 0.1 * "
"578",39.527
"579",34.109
"580",35.137
"581",35.292
"582",34.126
"583",31.404
"584",36.51
"585",34.329
"586",34.554
"587",35.868
"588",30.894
"589",38.6575
"590",47.3255
"591",60.167
"592",29.436
"593",38.8535
"594",33.578
"595",29.452
"596",36.633
"597",34.188
"598",27.85
"599",31.909
"600",34.965
"601",35.177
"602",33.267
"603",27.783
"604",34.955
"605",35.896
"606",40.71
"607",36.607
"608",36.608
"609",38.835
"610",35.9585
"611",41.5545
"612",37.267
"613",34.392
"614",33.4725
"615",45.566
"616",37.819
"617",34.864
"618",27.0395
"619",30.567
"620",36.177
"621",31.477
"622",29.681
"623",32.624
"624",23.795
"625",36.827
"626",36.161
"627",34.74
"628",29.449
"629",30.464
"630",29.6905
"631",33.115
"632",30.8165
"633",27.1405
"634",30.5935
"635",29.0885
"636",29.4865
"637",31.701
"638",33.393
"639",32.607
"640",35.474
"641",32.924
"642",31.021
"643",28.849
"644",35.034
"645",29.944
"646",38.692
"647",30.116
"648",30.127
"649",29.307
"650",37.8265
"651",29.573
"652",15.9685
"653",25.8675
"654",35.278
"655",38.358
"656",40.264
"657",26.528
"658",37.122
"659",41.583
"660",38.886
"661",26.359
"662",33.427
"663",31.633
"664",30.185
"665",24.866
"666",32.486
"667",28.902
"668",22.796
"669",27.2795
"670",24.228
"671",30.4915
"672",18.481
"673",19.083
"674",23.4555
"675",32.2175
"676",22.37
"677",22.8755
"678",18
"679",28.995
"680",33.359
"681",30.577
"682",33.939
"683",28.569
"684",24.203
"685",29.742
"686",25.1265
"687",27.35
"688",22.044
"689",35.947
"690",26.859
"691",29.514
"692",25.895
"693",30.2
"694",40.1565
"695",42.74
"696",46.68
"697",57.0225
"698",43.796
"699",35.826
"700",36.569
"701",39.6325
"702",36.9695
"703",33.849
"704",35.265
"705",37.018
"706",39.381
"707",38.904
"708",33.791
"709",38.5485
"710",30.645
"711",33.0475
"712",29.7035
"713",27.208
"714",36.762
"715",35.219
"716",35.752
"717",28.87
"718",39.797
"719",33.7
"720",36.7935
"721",35.8205
"722",37.3305
"723",36.1665
"724",27.319
"725",29.79
"726",34.998
"727",33.526
"728",31.152
"729",33.041
"730",39.621
"731",39.425
"732",44.291
"733",24.146
"734",35.424
"735",32.988
"736",32.508
"737",22.896
"738",31.224
"739",33.0675
"740",28.3965
"741",33.987
"742",40.1385
"743",24.8775
"744",33.106
"745",35.723
"746",39.699
"747",34.869
"748",41.09
"749",37.6
"750",35.587
"751",30.037
"752",36.803
"753",37.156
"754",26.567
"755",32.136
"756",33.861
"757",20.805
"758",11.951
"759",37.0575
"760",23.2505
"761",36.4245
"762",28.962
"763",29.6195
"764",50.57
"765",46.721
"766",50.417
"767",36.76
"768",34.946
"769",24.307
"770",25.108
"771",25.237
"772",23.27
"773",16.575
"774",16.0805
"775",14.52
"776",7.9485
"777",18.103
"778",17.022
"779",16.529
"780",19.945
"781",9.607
"782",19.407
"783",22.877
"784",30.0405
"785",30.5685
"786",39.1125
"787",33.5215
"788",40.411
"789",29.979
"790",26.048
"791",41.493
"792",39.609
"793",24.539
"794",32.518
"795",29.483
"796",35.935
"797",23.489
"798",31.296
"799",32.997
"800",35.286
"801",28.203
"802",35.948
"803",27.038
"804",26.811
"805",30.03
"806",26.4345
"807",31.7335
"808",25.9255
"809",34.008
"810",34.662
"811",36.486
"812",35.291
"813",32.11
"814",25.0095
"815",35.8535
"816",38.409
