date,hiring,work,usajob,apply
2017-06-15,60.300000000000004,73.15,26.04,39.36
2017-06-16,52.93,69.3,26.04,33.62
2017-06-17,40.870000000000005,62.370000000000005,0.0,27.47
2017-06-18,41.3,61.6,25.48,25.619999999999997
2017-06-19,68.6,75.46000000000001,34.84,36.96
2017-06-20,70.0,75.46000000000001,19.76,39.48
2017-06-21,67.19999999999999,75.46000000000001,20.28,39.9
2017-06-22,66.5,76.23,20.28,37.8
2017-06-23,63.699999999999996,73.92,30.68,33.18
2017-06-24,46.199999999999996,64.68,24.44,28.98
2017-06-25,41.54,64.68,24.990000000000002,26.24
2017-06-26,67.0,73.92,20.91,37.72
2017-06-27,64.99000000000001,76.23,21.42,40.18
2017-06-28,65.66000000000001,77.0,0.0,38.54
2017-06-29,65.66000000000001,73.92,36.72,36.489999999999995
2017-06-30,52.260000000000005,70.84,33.15,32.8
2017-07-01,38.190000000000005,59.29,0.0,29.11
2017-07-02,32.33,59.2,23.450000000000003,26.400000000000002
2017-07-03,45.14,62.9,20.77,33.6
2017-07-04,33.55,59.94,22.78,27.6
2017-07-05,52.46,68.82,30.82,35.6
2017-07-06,58.56,71.78,48.24,37.6
2017-07-07,48.8,67.34,0.0,35.6
2017-07-08,40.87,61.42,0.0,31.200000000000003
2017-07-09,44.8,64.74000000000001,30.6,32.76
2017-07-10,70.0,75.66,25.2,39.48
2017-07-11,65.8,78.0,0.0,40.74
2017-07-12,65.1,77.22,37.800000000000004,42.0
2017-07-13,62.3,77.22,26.1,39.059999999999995
2017-07-14,55.3,72.54,53.1,37.8
2017-07-15,42.699999999999996,63.96,90.0,29.82
2017-07-16,40.870000000000005,65.52,20.74,31.5
2017-07-17,57.620000000000005,74.88,17.08,42.0
2017-07-18,62.980000000000004,76.44,17.69,40.74
2017-07-19,57.620000000000005,77.22,17.08,38.22
2017-07-20,55.61000000000001,75.66,34.769999999999996,37.379999999999995
2017-07-21,51.59,69.42,35.99,35.28
2017-07-22,41.54,63.18,19.52,30.24
2017-07-23,43.47,63.96,0.0,29.24
2017-07-24,59.339999999999996,74.88,26.1,40.85
2017-07-25,61.41,76.44,25.2,40.42
2017-07-26,61.41,77.22,50.4,41.71
2017-07-27,62.099999999999994,74.10000000000001,51.300000000000004,42.14
2017-07-28,54.51,70.98,38.7,38.269999999999996
2017-07-29,42.089999999999996,63.96,0.0,28.38
2017-07-30,43.309999999999995,64.74000000000001,0.0,31.95
2017-07-31,63.19,74.10000000000001,30.099999999999998,43.65
2017-08-01,59.64,74.10000000000001,44.099999999999994,45.0
2017-08-02,71.0,76.44,32.199999999999996,43.2
2017-08-03,57.51,74.10000000000001,45.5,44.1
2017-08-04,49.699999999999996,71.76,0.0,36.45
2017-08-05,43.309999999999995,63.96,0.0,32.4
2017-08-06,36.85,62.370000000000005,67.08,28.38
2017-08-07,56.28,70.84,26.66,39.56
2017-08-08,58.290000000000006,73.92,39.56,40.85
2017-08-09,55.61000000000001,72.38,27.52,36.55
2017-08-10,54.27,72.38,86.0,38.269999999999996
2017-08-11,42.21,67.76,57.62,33.97
2017-08-12,36.18,60.06,0.0,27.52
2017-08-13,37.050000000000004,60.04,0.0,28.81
2017-08-14,52.65,67.64,21.78,41.28
2017-08-15,50.7,72.96000000000001,21.12,39.13
2017-08-16,52.0,72.2,32.34,38.269999999999996
2017-08-17,46.800000000000004,71.44,42.9,38.269999999999996
2017-08-18,43.550000000000004,67.64,21.78,35.26
2017-08-19,35.1,60.04,0.0,31.39
2017-08-20,34.65,60.8,58.52,26.65
2017-08-21,42.21,68.4,23.87,31.979999999999997
2017-08-22,50.4,71.44,0.0,38.129999999999995
2017-08-23,51.03,73.72,37.730000000000004,36.08
2017-08-24,46.62,72.2,24.64,37.309999999999995
2017-08-25,39.06,66.88,0.0,31.979999999999997
2017-08-26,30.87,58.52,0.0,27.47
2017-08-27,32.64,57.76,0.0,25.619999999999997
