,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel,dynamic_corr,gen_trend,dynamic_corr_gen,diff_gen_trend
132,2018-07-13,70.955,70.955,70.955,70.955,14.191,263.0,0.0,1.0,55.04,38.54,2.36,49.58000000000001,2.9000000000000004,40.6,0.24960041450624398,48.523,0.783167347269366,-0.9025000000000034
133,2018-07-16,68.2367,68.645,68.0296,68.645,13.729,1509.0,0.0,1.0,56.7,47.0,1.71,58.22,3.65,37.62,0.45128893603176795,49.25650000000001,0.760116827412606,0.7335000000000065
134,2018-07-17,67.82,68.68,67.69,68.33,13.666,12542.0,0.0,1.0,55.44,40.89,2.22,50.41,3.25,36.48,0.637450634929252,47.7875,0.771730743703385,-1.4690000000000083
135,2018-07-18,68.11,69.09,68.11,69.09,13.818,1110.0,0.0,1.0,54.18,42.77,0.36,61.06,4.3500000000000005,35.91,0.3262322096003301,47.2655,0.7232995709524921,-0.5219999999999985
136,2018-07-19,69.78,69.78,68.8127,69.3832,13.8766,2691.0,0.0,1.0,54.81,39.95,2.61,50.41,3.1,38.19,0.607634402708911,47.825,0.742948684969559,0.5594999999999999
137,2018-07-20,69.11,69.425,69.0,69.425,13.885,2191.0,0.0,1.0,54.18,37.6,1.05,60.35,3.75,38.19,0.4200330324676809,47.8345,0.784767539503597,0.009499999999995623
138,2018-07-23,69.625,69.63,68.9348,69.19,13.838,2707.0,0.0,1.0,56.42,42.3,3.44,54.67,4.1000000000000005,37.7,0.6596805657370091,49.0035,0.781264704964335,1.169000000000004
139,2018-07-24,69.28,70.28,69.28,69.675,13.935,3119.0,0.0,1.0,52.7,41.36,1.36,55.38,2.6500000000000004,39.44,0.640964425334691,46.952,0.8096642849358431,-2.0515000000000043
140,2018-07-25,70.94,71.07,70.6673,70.6819,14.1364,5566.0,0.0,1.0,52.08,39.48,2.92,49.7,3.3000000000000003,34.8,0.540939758029654,45.18299999999999,0.6920339521180999,-1.7690000000000055
141,2018-07-26,70.806,70.8084,70.806,70.8084,14.1617,1091.0,0.0,1.0,52.7,38.54,3.0,53.25,3.3000000000000003,40.02,-0.106573286042601,47.07250000000001,0.4997668623898879,1.8895000000000195
142,2018-07-27,70.67,70.67,69.67,70.14,14.028,2534.0,0.0,1.0,53.94,37.6,4.0,53.25,1.7000000000000002,40.02,0.4488874983472661,47.92850000000001,0.758796468167247,0.8559999999999945
143,2018-07-30,71.29,71.468,71.21,71.271,14.2542,2508.0,0.0,1.0,53.32,43.24,1.36,50.16,2.6,39.33,0.52124443542524,47.0665,0.8217851120106031,-0.862000000000009
144,2018-07-31,69.98,70.44,69.98,70.07,14.014,6351.0,0.0,1.0,53.32,41.4,1.34,44.88,2.85,33.059999999999995,0.319663576359016,45.233999999999995,0.8114889018373771,-1.8325000000000031
145,2018-08-01,69.18,69.48,68.7001,68.7001,13.74,1124.0,0.0,1.0,53.32,34.96,1.82,35.64,3.1500000000000004,36.48,-0.35036001968879105,45.651,0.700339542274679,0.4170000000000087
146,2018-08-02,68.52,70.81,68.52,70.4522,14.0904,2204.0,0.0,1.0,53.94,36.34,1.54,40.26000000000001,3.75,37.05,-0.571314330357348,46.41349999999999,0.7279709341328741,0.7624999999999886
147,2018-08-03,69.91,70.05,69.5732,69.5732,13.9146,1802.0,0.0,1.0,53.94,32.2,1.16,36.3,2.45,39.9,-0.551988628671533,46.909,0.8096277487933721,0.49550000000000693
148,2018-08-06,70.26,70.26,70.1062,70.21,14.042,2831.0,0.0,1.0,54.29,41.28,3.28,49.6,2.0,43.2,-0.564721244388109,48.7325,0.821500202162498,1.8235000000000028
149,2018-08-07,70.48,70.62,70.48,70.62,14.124,1122.0,0.0,1.0,51.85,38.88,3.24,59.2,4.2,44.4,0.206186803236375,47.9245,0.8541436936508101,-0.8079999999999998
150,2018-08-08,69.18,69.18,67.88,68.2358,13.6472,6495.0,0.0,1.0,52.46,42.24,3.08,80.0,3.2,39.0,0.5867339232199761,48.00300000000001,0.8434241231726171,0.07850000000000534
151,2018-08-09,68.52,68.52,68.1596,68.1829,13.6366,1337.0,0.0,1.0,53.68,38.88,2.28,51.2,3.25,40.8,0.7373903702820219,47.766000000000005,0.7747383579720899,-0.23700000000000188
152,2018-08-10,68.782,69.01,68.7431,68.9565,13.7913,3093.0,0.0,1.0,51.24,35.52,1.28,45.6,2.75,42.0,0.374154578432719,46.15000000000001,0.7812418727624529,-1.6159999999999926
153,2018-08-13,68.78,68.78,68.2316,68.7458,13.7492,2492.0,0.0,1.0,53.94,36.66,1.92,40.95,2.94,41.3,-0.0514487600521309,47.52949999999999,0.6612144350090029,1.3794999999999789
154,2018-08-14,68.75,68.75,68.3629,68.4122,13.6824,4149.0,0.0,1.0,53.32,43.24,2.46,44.85,3.54,40.12,-0.341205518508859,47.0535,0.786551891169967,-0.475999999999992
155,2018-08-15,66.9823,66.9823,66.0,66.4252,13.285,2414.0,0.0,1.0,54.56,41.83,1.83,40.95,3.6,39.53,-0.157978735933236,47.48550000000001,0.829563662477863,0.43200000000000927
156,2018-08-16,66.49,66.9394,66.49,66.8983,13.3797,26145.0,0.0,1.0,53.32,39.01,1.65,37.7,4.32,37.76,-0.348504290472946,46.0655,0.830842662077303,-1.4200000000000088
157,2018-08-17,67.0942,67.19,67.08,67.19,13.438,3217.0,0.0,1.0,54.56,38.07,1.5,37.7,3.0,41.3,-0.6006846888572729,47.748999999999995,0.763666170252191,1.6834999999999951
158,2018-08-20,67.25,67.53,67.25,67.33,13.466,4042.0,0.0,1.0,53.07,42.33,2.4,39.65,3.72,37.52,-0.505541112978777,45.978,0.831596599174001,-1.7709999999999937
159,2018-08-21,67.79,67.79,67.79,67.79,13.558,731.0,0.0,1.0,52.46,46.92,2.22,34.45,6.0,38.64,-0.5602937902359649,45.5925,0.7542401214292399,-0.3855000000000004
160,2018-08-22,69.48,70.1575,69.48,70.1575,14.0315,2880.0,0.0,1.0,51.85,45.9,3.0,45.5,4.32,34.160000000000004,-0.6444360959939449,44.6675,0.7191110141972241,-0.9250000000000043
161,2018-08-23,70.1575,70.1575,70.1575,70.1575,14.0315,177.0,0.0,1.0,53.07,45.9,1.53,36.4,4.38,38.08000000000001,-0.527914618899604,45.912000000000006,0.479493142645336,1.2445000000000093
162,2018-08-24,71.2751,71.2751,70.705,70.74,14.148,2033.0,0.0,1.0,51.85,42.33,2.85,35.1,3.24,42.56,-0.609871979505396,46.24,0.6576895016921109,0.32799999999999585
163,2018-08-27,71.04,71.09,70.9161,71.0268,14.2054,2416.0,0.0,1.0,49.56,56.00000000000001,2.22,47.57,2.24,38.28,-0.5708532773096588,44.27350000000001,0.7522309644438009,-1.9664999999999893
164,2018-08-28,71.0268,71.0268,71.0268,71.0268,14.2054,540.0,0.0,1.0,49.56,54.88,2.4,45.44,2.6,36.54,-0.41255235010284497,43.74100000000001,0.396465959958051,-0.532500000000006
165,2018-08-29,71.37,71.66,71.37,71.47,14.294,1712.0,0.0,1.0,48.97,53.2,1.56,36.92,2.56,38.86,-0.5196403205203839,43.46950000000001,-0.0556882908539827,-0.2714999999999961
166,2018-08-30,71.87,72.47,71.87,72.47,14.494000000000002,1188.0,0.0,1.0,48.38,56.00000000000001,1.47,45.44,2.56,40.02,-0.658849643708896,43.79750000000001,-0.361204968161079,0.32799999999999585
167,2018-08-31,72.04,72.15,71.91,72.07300000000002,14.4146,10478.0,0.0,1.0,49.56,50.40000000000001,1.71,53.25,1.52,46.98,-0.549161420618619,46.70700000000001,-0.481136522010479,2.9095000000000013
168,2018-09-04,72.85,72.85,71.2672,71.2672,14.2534,1457.0,0.0,1.0,49.02,43.12000000000001,2.76,39.05,4.3,38.35,0.412374633461609,43.541,0.617545613600375,-3.166000000000011
169,2018-09-05,71.54,71.54,70.967,70.967,14.1934,2414.0,0.0,1.0,49.02,49.84,1.65,38.34,3.85,36.58,-0.39140988625933504,43.00750000000001,0.0605097021354274,-0.5334999999999894
170,2018-09-06,70.87,70.99,69.37,69.9548,13.991,2347.0,0.0,1.0,48.45,50.40000000000001,1.62,36.92,4.6000000000000005,38.94,-0.601731024061504,43.15450000000001,-0.3603774707752729,0.14700000000000557
171,2018-09-07,69.3499,69.8748,69.3499,69.8748,13.975,899.0,0.0,1.0,47.88,45.36000000000001,1.56,42.6,3.5,40.71,-0.623974464799347,43.50750000000001,-0.499983935504665,0.35299999999999443
172,2018-09-10,70.27,70.521,69.6399,69.6399,13.928,704.0,0.0,1.0,49.59,53.94,1.17,29.14,3.45,36.96,-0.538684186158292,42.98900000000001,-0.512707694453455,-0.518499999999996
173,2018-09-11,71.4841,71.67,71.4565,71.67,14.334,2402.0,0.0,1.0,47.31,49.3,1.53,28.52,4.0,37.52,-0.680830481773387,41.63400000000001,-0.617540031967876,-1.355000000000004
174,2018-09-12,72.36,73.0,72.36,72.679,14.5358,1225.0,0.0,1.0,47.31,50.46,1.08,31.0,4.8500000000000005,35.84,-0.722063155547484,41.3155,-0.763432741854964,-0.31850000000000733
175,2018-09-13,71.75,71.75,70.6806,70.8047,14.1609,1076.0,0.0,1.0,48.45,52.78,1.29,29.76,4.45,39.2,-0.711849759882157,42.84500000000001,-0.7929841924464379,1.529500000000013
176,2018-09-14,71.0752,71.102,71.0752,71.102,14.2204,1061.0,0.0,1.0,49.02,44.08,1.3199999999999998,33.48,4.75,36.96,-0.665173772213806,42.843,-0.7114428517600409,-0.0020000000000095497
177,2018-09-17,71.792,71.792,70.7565,70.9766,14.1953,3211.0,0.0,1.0,49.02,56.12,1.35,39.76,3.45,37.52,-0.6658118207056409,43.2985,-0.7041044495030271,0.4554999999999936
178,2018-09-18,71.97,72.04,71.571,72.04,14.408,1603.0,0.0,1.0,48.45,56.12,2.07,36.21,3.8,38.08000000000001,-0.6657130221871079,42.9265,-0.613440018950608,-0.3719999999999999
179,2018-09-19,72.79,72.94,72.79,72.94,14.588,1764.0,0.0,1.0,50.73,58.56,2.4,33.37,3.35,39.76000000000001,-0.7343243506819399,44.703,-0.690736454630955,1.7765000000000057
180,2018-09-20,72.91,72.91,72.4715,72.5575,14.5115,2867.0,0.0,1.0,50.16,55.51,2.1,36.21,4.0,39.76000000000001,-0.6765695121022031,44.4595,-0.21706154414423895,-0.2435000000000045
181,2018-09-21,73.7,73.7,73.04,73.15,14.63,1352.0,0.0,1.0,51.3,45.14,1.98,34.08,4.0,40.88,-0.7077391397906201,45.368,0.0601725443628313,0.9085000000000036
182,2018-09-24,74.76,75.06,74.47,74.7166,14.9433,8304.0,0.0,1.0,50.73,56.42,1.96,48.76000000000001,4.2,39.33,-0.71781734913511,45.343,0.5156502456998591,-0.02499999999999858
183,2018-09-25,75.04,75.11,74.65,74.8732,14.9746,10801.0,0.0,1.0,49.02,62.0,4.0,78.2,6.0,39.33,-0.267791721884742,45.80550000000001,0.588653956726361,0.4625000000000057
184,2018-09-26,74.38,74.6132,73.98,74.0666,14.8133,2179.0,0.0,1.0,49.02,55.8,2.68,61.64,4.859999999999999,38.19,0.6073075143718779,44.6265,0.7044505858859141,-1.1790000000000092
185,2018-09-27,74.42,74.75,74.42,74.7374,14.9475,4705.0,0.0,1.0,48.45,58.28,3.24,92.0,4.26,38.76,0.479803203448663,45.94450000000001,0.517837705714709,1.318000000000012
186,2018-09-28,74.86,76.33,74.86,75.7,15.14,5076.0,0.0,1.0,47.88,46.5,2.88,71.76,4.32,41.04,0.7136460556783292,45.114,0.705540134845011,-0.8305000000000149
187,2018-10-01,76.31,78.33,76.31,78.15,15.63,6540.0,0.0,1.0,50.16,57.66,2.28,76.0,6.0200000000000005,38.76,0.6472932457532851,46.20799999999999,0.490646059416202,1.093999999999994
188,2018-10-02,78.34,78.34,77.75,77.75,15.55,1779.0,0.0,1.0,51.87,58.28,2.88,76.0,4.69,38.76,0.6714515921043239,47.34949999999999,0.766908589832521,1.1415000000000006
189,2018-10-03,77.25,79.2204,77.13,79.07,15.814,4014.0,0.0,1.0,48.45,56.42,4.0,66.12,7.000000000000001,37.62,0.686444305456563,44.4035,0.807002566428592,-2.945999999999991
190,2018-10-04,78.2818,78.3683,76.67,77.0375,15.4075,2611.0,0.0,1.0,50.73,53.94,3.2,71.44,7.000000000000001,38.76,0.5900386621796789,46.3965,0.501179251862372,1.993000000000002
191,2018-10-05,77.5,77.5099,76.9916,77.02,15.404000000000002,1442.0,0.0,1.0,50.73,50.84,2.28,57.0,4.2700000000000005,41.04,0.644163206987871,46.1985,0.683492093358376,-0.1980000000000004
192,2018-10-08,76.53,76.87,76.53,76.84,15.368,1372.0,0.0,1.0,54.87,53.1,2.04,62.98,2.82,47.79,0.5268848399489929,50.864,0.74496400594829,4.665499999999994
