,Trump,Donald Trump,President of USA,open_spx,high_spx,low_spx,sp500_h,volume_spx,DateTime,youwilldie
141,2.0,0.0,0.0,0.0,-6.769999999999982,-5.639900000000125,-1.7899999999999636,6.4699999999998,0 days 01:00:00.000000000,0.0
142,4.0,1.0,0.0,0.0,6.539999999999964,4.589899999999943,4.699999999999818,2.390100000000075,0 days 01:00:00.000000000,0.0
143,3.0,0.0,0.0,0.0,2.3301000000001295,-0.579899999999725,4.75,-1.4299000000000888,0 days 01:00:00.000000000,0.0
144,2.0,1.0,0.0,0.0,-1.4299000000000888,0.8698999999996886,1.580000000000382,3.659900000000107,0 days 01:00:00.000000000,0.0
145,1.0,0.0,0.0,0.0,3.6198999999996886,7.840100000000348,3.560099999999693,5.7199999999998,0 days 01:00:00.000000000,0.0
146,0.0,0.0,0.0,0.0,5.760000000000218,-2.1902000000000044,0.4800000000000182,-0.060099999999692955,0 days 01:00:00.000000000,0.0
147,-12.0,-2.0,0.0,0.0,9.959899999999834,10.810099999999693,5.569800000000214,3.8300999999996748,0 days 18:00:00.000000000,0.0
148,1.0,0.0,0.0,0.0,-6.38989999999967,0.4499000000000706,3.0,6.899900000000343,0 days 01:00:00.000000000,0.0
149,2.0,1.0,0.0,0.0,7.149899999999889,0.24000000000023647,3.3300999999996748,1.2399999999997817,0 days 01:00:00.000000000,0.0
150,3.0,0.0,0.0,0.0,1.2100000000000364,1.0700999999999112,2.8601000000003296,-3.2997999999997774,0 days 01:00:00.000000000,0.0
151,2.0,0.0,0.0,0.0,-3.319800000000214,-0.7100000000000364,-1.9800000000000182,2.459899999999834,0 days 01:00:00.000000000,0.0
152,1.0,1.0,0.0,0.0,2.459900000000289,-0.0601000000001477,-0.4001000000002932,-3.8200000000001637,0 days 01:00:00.000000000,0.0
153,0.0,-1.0,0.0,0.0,-3.8200000000001637,-0.07979999999997744,1.0,3.340100000000348,0 days 01:00:00.000000000,0.0
154,-12.0,-2.0,0.0,0.0,-7.280099999999948,-11.549999999999727,-16.629899999999907,-10.220000000000255,0 days 18:00:00.000000000,0.0
155,0.0,0.0,0.0,0.0,0.4101999999998043,4.1698999999998705,6.5,3.819800000000214,0 days 01:00:00.000000000,0.0
156,2.0,1.0,0.0,0.0,3.8097999999999956,1.6898999999998523,3.0597999999999956,0.9800000000000182,0 days 01:00:00.000000000,0.0
157,2.0,0.0,0.0,0.0,1.0,-1.25,-0.17990000000008877,-3.269800000000032,0 days 01:00:00.000000000,0.0
158,1.0,0.0,0.0,0.0,-3.2399999999997817,-2.769999999999982,-12.829899999999725,-11.460199999999986,0 days 01:00:00.000000000,0.0
159,1.0,0.0,0.0,0.0,-11.459900000000289,-6.569799999999759,3.329899999999725,2.700199999999768,0 days 01:00:00.000000000,0.0
160,1.0,0.0,0.0,0.0,2.6601000000000568,0.9800000000000182,-0.9499999999998181,-0.4601999999999862,0 days 01:00:00.000000000,0.0
161,2.0,1.0,0.0,0.0,39.92990000000009,42.809999999999945,39.039999999999964,35.92020000000002,10 days 18:00:00.000000000,0.0
