,Trump,Donald Trump,President of USA,Close,DateTime
142,1.0,0.0,0.0,104.275,2019-12-16 13:00:00
143,1.0,0.0,0.0,105.565,2019-12-16 14:00:00
144,1.0,0.0,0.0,105.87,2019-12-16 15:00:00
145,2.0,0.0,0.0,105.93,2019-12-16 16:00:00
146,2.0,0.0,0.0,105.615,2019-12-16 17:00:00
147,2.0,0.0,0.0,105.585,2019-12-16 18:00:00
148,3.0,1.0,0.0,105.265,2019-12-16 19:00:00
149,5.0,2.0,0.0,105.19,2019-12-16 20:00:00
150,2.0,0.0,0.0,106.275,2019-12-16 21:00:00
151,2.0,0.0,0.0,106.275,2019-12-16 22:00:00
152,2.0,0.0,0.0,106.275,2019-12-16 23:00:00
153,2.0,0.0,0.0,106.275,2019-12-17 00:00:00
154,1.0,0.0,0.0,106.275,2019-12-17 12:00:00
155,1.0,0.0,0.0,106.5,2019-12-17 13:00:00
156,1.0,0.0,0.0,105.48,2019-12-17 14:00:00
157,2.0,0.0,0.0,106.09,2019-12-17 15:00:00
158,2.0,0.0,0.0,106.215,2019-12-17 16:00:00
159,2.0,0.0,0.0,106.025,2019-12-17 17:00:00
160,2.0,0.0,0.0,106.12,2019-12-17 18:00:00
161,2.0,0.0,0.0,106.075,2019-12-17 19:00:00
162,3.0,0.0,0.0,105.985,2019-12-17 20:00:00
163,3.0,0.0,0.0,106.5,2019-12-17 21:00:00
164,3.0,1.0,0.0,106.5,2019-12-17 22:00:00
165,4.0,1.0,0.0,106.5,2019-12-17 23:00:00
166,4.0,1.0,0.0,106.5,2019-12-18 00:00:00
167,2.0,0.0,0.0,107.005,2019-12-18 11:00:00
168,2.0,0.0,0.0,106.275,2019-12-18 12:00:00
169,3.0,1.0,0.0,106.275,2019-12-18 13:00:00
170,4.0,1.0,0.0,106.045,2019-12-18 14:00:00
171,5.0,1.0,0.0,106.385,2019-12-18 15:00:00
172,6.0,1.0,0.0,106.14,2019-12-18 16:00:00
173,8.0,2.0,0.0,106.135,2019-12-18 17:00:00
174,8.0,2.0,0.0,106.025,2019-12-18 18:00:00
175,8.0,2.0,0.0,105.835,2019-12-18 19:00:00
176,9.0,2.0,0.0,105.925,2019-12-18 20:00:00
177,11.0,2.0,0.0,105.13,2019-12-18 21:00:00
178,13.0,3.0,0.0,105.13,2019-12-18 22:00:00
179,16.0,3.0,0.0,105.13,2019-12-18 23:00:00
180,19.0,3.0,0.0,105.13,2019-12-19 00:00:00
181,8.0,2.0,0.0,105.13,2019-12-19 09:00:00
182,8.0,2.0,0.0,105.13,2019-12-19 10:00:00
183,10.0,3.0,0.0,105.13,2019-12-19 11:00:00
184,11.0,3.0,0.0,105.13,2019-12-19 12:00:00
185,11.0,3.0,0.0,105.13,2019-12-19 13:00:00
186,10.0,3.0,0.0,106.315,2019-12-19 14:00:00
187,10.0,2.0,0.0,107.025,2019-12-19 15:00:00
188,10.0,2.0,0.0,107.145,2019-12-19 16:00:00
189,9.0,2.0,0.0,106.955,2019-12-19 17:00:00
190,9.0,2.0,0.0,107.285,2019-12-19 18:00:00
191,9.0,2.0,0.0,107.02,2019-12-19 19:00:00
192,9.0,2.0,0.0,107.045,2019-12-19 20:00:00
193,9.0,2.0,0.0,105.13,2019-12-19 21:00:00
194,9.0,2.0,0.0,105.13,2019-12-19 22:00:00
195,10.0,2.0,0.0,105.13,2019-12-19 23:00:00
196,10.0,2.0,0.0,105.13,2019-12-20 00:00:00
197,2.0,1.0,0.0,105.13,2019-12-20 09:00:00
198,2.0,1.0,0.0,105.13,2019-12-20 10:00:00
199,3.0,1.0,0.0,105.13,2019-12-20 11:00:00
200,3.0,1.0,0.0,105.13,2019-12-20 12:00:00
201,3.0,1.0,0.0,106.105,2019-12-20 13:00:00
202,4.0,1.0,0.0,107.675,2019-12-20 14:00:00
203,4.0,1.0,0.0,107.805,2019-12-20 15:00:00
204,4.0,1.0,0.0,107.83,2019-12-20 16:00:00
205,4.0,1.0,0.0,107.655,2019-12-20 17:00:00
206,4.0,1.0,0.0,107.36,2019-12-20 18:00:00
207,4.0,1.0,0.0,107.595,2019-12-20 19:00:00
208,4.0,1.0,0.0,107.61,2019-12-20 20:00:00
209,4.0,1.0,0.0,106.75,2019-12-20 21:00:00
210,5.0,1.0,0.0,106.75,2019-12-20 22:00:00
211,5.0,1.0,0.0,105.6,2019-12-20 23:00:00
212,5.0,1.0,0.0,105.6,2019-12-21 00:00:00
213,9.0,2.0,0.0,105.775,2019-12-30 09:00:00
214,9.0,2.0,0.0,105.775,2019-12-30 10:00:00
215,11.0,2.0,0.0,105.775,2019-12-30 11:00:00
216,13.0,3.0,0.0,105.775,2019-12-30 12:00:00
217,15.0,3.0,0.0,105.775,2019-12-30 13:00:00
218,16.0,3.0,0.0,107.7,2019-12-30 14:00:00
219,17.0,4.0,0.0,107.24,2019-12-30 15:00:00
220,18.0,4.0,0.0,107.17,2019-12-30 16:00:00
221,19.0,4.0,0.0,107.14,2019-12-30 17:00:00
222,20.0,4.0,0.0,107.105,2019-12-30 18:00:00
223,21.0,4.0,0.0,107.035,2019-12-30 19:00:00
224,22.0,5.0,0.0,107.005,2019-12-30 20:00:00
225,23.0,5.0,0.0,105.165,2019-12-30 21:00:00
226,25.0,5.0,0.0,105.165,2019-12-30 22:00:00
227,27.0,6.0,0.0,105.775,2019-12-30 23:00:00
228,27.0,6.0,0.0,105.775,2019-12-31 00:00:00
229,9.0,2.0,0.0,105.775,2019-12-31 09:00:00
230,9.0,2.0,0.0,105.775,2019-12-31 10:00:00
231,11.0,2.0,0.0,105.775,2019-12-31 11:00:00
232,13.0,3.0,0.0,105.775,2019-12-31 12:00:00
233,15.0,3.0,0.0,105.165,2019-12-31 13:00:00
234,17.0,4.0,0.0,107.465,2019-12-31 14:00:00
235,18.0,4.0,0.0,106.995,2019-12-31 15:00:00
236,19.0,4.0,0.0,106.855,2019-12-31 16:00:00
237,20.0,4.0,0.0,106.75,2019-12-31 17:00:00
238,21.0,4.0,0.0,106.895,2019-12-31 18:00:00
239,22.0,5.0,0.0,106.97,2019-12-31 19:00:00
240,23.0,5.0,0.0,107.115,2019-12-31 20:00:00
241,24.0,5.0,0.0,105.165,2019-12-31 21:00:00
242,26.0,6.0,0.0,105.165,2019-12-31 22:00:00
243,26.0,6.0,0.0,105.775,2019-12-31 23:00:00
244,26.0,6.0,0.0,105.775,2020-01-01 00:00:00
245,9.0,2.0,0.0,105.775,2020-01-02 09:00:00
246,9.0,2.0,0.0,105.775,2020-01-02 10:00:00
247,10.0,2.0,0.0,105.775,2020-01-02 11:00:00
248,13.0,3.0,0.0,105.775,2020-01-02 12:00:00
249,14.0,3.0,0.0,106.14,2020-01-02 13:00:00
250,16.0,3.0,0.0,107.59,2020-01-02 14:00:00
251,17.0,4.0,0.0,107.555,2020-01-02 15:00:00
252,17.0,4.0,0.0,107.385,2020-01-02 16:00:00
253,19.0,4.0,0.0,107.52,2020-01-02 17:00:00
254,20.0,4.0,0.0,107.235,2020-01-02 18:00:00
255,20.0,4.0,0.0,107.36,2020-01-02 19:00:00
256,21.0,5.0,0.0,107.845,2020-01-02 20:00:00
257,23.0,5.0,0.0,106.75,2020-01-02 21:00:00
258,25.0,6.0,0.0,106.75,2020-01-02 22:00:00
259,28.0,6.0,0.0,105.775,2020-01-02 23:00:00
260,28.0,6.0,0.0,105.775,2020-01-03 00:00:00
261,32.0,9.0,0.0,105.775,2020-01-03 09:00:00
262,35.0,9.0,0.0,105.775,2020-01-03 10:00:00
263,42.0,10.0,0.0,105.775,2020-01-03 11:00:00
264,52.0,12.0,0.0,105.775,2020-01-03 12:00:00
265,58.0,13.0,0.0,105.775,2020-01-03 13:00:00
266,64.0,15.0,0.0,107.035,2020-01-03 14:00:00
267,69.0,16.0,0.0,107.21,2020-01-03 15:00:00
268,72.0,17.0,0.0,107.29,2020-01-03 16:00:00
269,78.0,19.0,0.0,107.53,2020-01-03 17:00:00
270,83.0,21.0,0.0,108.02,2020-01-03 18:00:00
271,85.0,22.0,0.0,108.275,2020-01-03 19:00:00
272,91.0,23.0,0.0,108.255,2020-01-03 20:00:00
273,91.0,23.0,0.0,105.775,2020-01-03 21:00:00
274,97.0,25.0,0.0,105.775,2020-01-03 22:00:00
275,100.0,26.0,0.0,105.775,2020-01-03 23:00:00
276,97.0,25.0,0.0,105.775,2020-01-04 00:00:00
277,13.0,3.0,0.0,105.775,2020-01-06 09:00:00
278,13.0,4.0,0.0,105.775,2020-01-06 10:00:00
279,15.0,4.0,0.0,105.775,2020-01-06 11:00:00
280,17.0,5.0,0.0,105.775,2020-01-06 12:00:00
