,Unnamed: 0,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr,dynamic_corr2
313,313,2018-04-03,2592.1699,2619.1399,2575.49,2614.45,2614.45,3392810000.0,0.0,1.0,27.20000000000001,40.85,40.95,9.35,0.38160762614948995,-0.620258667010283
314,314,2018-04-04,2584.04,2649.8601,2573.6101,2644.6899,2644.6899,3350340000.0,0.0,1.0,24.0,41.71,39.69,8.84,0.43737730422498206,-0.7530962267195541
315,315,2018-04-05,2657.3601,2672.0801,2649.5801,2662.8401,2662.8401,3178970000.0,0.0,1.0,26.4,40.85,37.17,7.82,0.46441327978256797,-0.815609052556465
316,316,2018-04-06,2645.8201,2656.8799,2586.27,2604.47,2604.47,3299700000.0,0.0,1.0,25.20000000000001,41.71,41.58,8.16,0.504219164031004,-0.8436434667183141
317,317,2018-04-09,2617.1799,2653.55,2610.79,2613.1599,2613.1599,3062960000.0,0.0,1.0,35.04,42.68,31.8,14.16,0.5937717279324161,-0.818285039715117
318,318,2018-04-10,2638.4099,2665.45,2635.78,2656.8701,2656.8701,3543930000.0,0.0,1.0,41.76,41.8,29.68,17.04,0.0577588709538341,-0.648762984938756
319,319,2018-04-11,2643.8899,2661.4299,2639.25,2642.1899,2642.1899,3020760000.0,0.0,1.0,48.0,40.48,30.21,16.08,-0.357350678477617,-0.262294034659858
320,320,2018-04-12,2653.8301,2674.72,2653.8301,2663.99,2663.99,3021320000.0,0.0,1.0,39.84,40.48,31.270000000000003,15.36,-0.5223458830212151,-0.14974735449542
321,321,2018-04-13,2676.8999,2680.26,2645.05,2656.3,2656.3,2960910000.0,0.0,1.0,35.04,40.92,32.86,16.08,-0.567366513507535,-0.14943536109450303
322,322,2018-04-16,2670.1001,2686.49,2665.1599,2677.8401,2677.8401,3019700000.0,0.0,1.0,36.96,39.9,30.74,11.4,-0.671460547427551,-0.0516077242479153
323,323,2018-04-17,2692.74,2713.3401,2692.05,2706.3899,2706.3899,3234360000.0,0.0,1.0,38.88,40.74,30.21,10.26,-0.364933128089242,-0.506183141068253
324,324,2018-04-18,2710.1101,2717.49,2703.6299,2708.6399,2708.6399,3383410000.0,0.0,1.0,40.8,40.32,29.68,11.02,-0.0817723155712853,-0.696080130357507
325,325,2018-04-19,2701.1599,2702.8401,2681.8999,2693.1299,2693.1299,3349370000.0,0.0,1.0,38.88,39.48,32.33,9.5,0.0162287686916145,-0.7446550320057971
326,326,2018-04-20,2692.5601,2693.9399,2660.6101,2670.1399,2670.1399,3388590000.0,0.0,1.0,37.44,36.96,33.39,9.69,0.441745141595742,-0.7774950780176979
327,327,2018-04-23,2675.3999,2682.8601,2657.99,2670.29,2670.29,3017480000.0,0.0,1.0,38.07,41.28,30.74,10.5,0.519677556757742,-0.790788892013222
328,328,2018-04-24,2680.8,2683.55,2617.3201,2634.5601,2634.5601,3706740000.0,0.0,1.0,37.6,40.42,29.15,11.97,0.44614236126743706,-0.791257299779489
329,329,2018-04-25,2634.9199,2645.3,2612.6699,2639.3999,2639.3999,3499440000.0,0.0,1.0,37.6,41.28,30.74,12.81,0.15670214994954598,-0.7537778851163541
330,330,2018-04-26,2651.6499,2676.48,2647.1599,2666.9399,2666.9399,3665720000.0,0.0,1.0,34.78,38.7,30.21,14.07,-0.115698085587033,-0.698097887871803
331,331,2018-04-27,2675.47,2677.3501,2659.01,2669.9099,2669.9099,3219030000.0,0.0,1.0,33.84,38.7,33.39,14.91,-0.3569120723871911,-0.57775144700249
332,332,2018-04-30,2682.51,2682.8701,2648.04,2648.05,2648.05,3734530000.0,0.0,1.0,37.72,40.32,31.86000000000001,9.0,-0.537618453891056,-0.43754533685222496
333,333,2018-05-01,2642.96,2655.27,2625.4099,2654.8,2654.8,3559850000.0,0.0,1.0,41.86,29.82,41.040000000000006,13.68,0.22711160307935202,-0.634828965181646
334,334,2018-05-02,2654.24,2660.8701,2631.7,2635.6699,2635.6699,4010770000.0,0.0,1.0,46.0,29.82,41.58000000000001,14.04,-0.13682818607614902,-0.575753547415538
335,335,2018-05-03,2628.0801,2637.1399,2594.6201,2629.73,2629.73,3851470000.0,0.0,1.0,38.64,30.24,43.74,17.099999999999998,-0.44832735381919,-0.52724928780514
336,336,2018-05-04,2621.45,2670.9299,2615.3201,2663.4199,2663.4199,3327220000.0,0.0,1.0,40.94000000000001,28.56,44.28,15.48,-0.688015067875856,-0.11248114635195801
337,337,2018-05-07,2680.3401,2683.3501,2664.7,2672.6299,2672.6299,3237960000.0,0.0,1.0,41.85,29.11,38.16,14.22,-0.6391493306947621,-0.0639395094571807
