,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel
2019-01-07,2019-01-07,50.34,51.43,50.2,50.4379,10.0876,26528.0,0.0,1.0,57.33,35.88,3.1,46.44,4.83,34.77
2019-01-08,2019-01-08,51.14,51.5359,50.88,51.4738,10.2948,9503.0,0.0,1.0,54.81,38.48,4.45,86.0,6.65,33.629999999999995
2019-01-09,2019-01-09,52.98,54.38,52.58,54.09,10.818,59064.0,0.0,1.0,54.18,44.2,3.6,47.3,7.000000000000001,33.629999999999995
2019-01-10,2019-01-10,53.47,54.58,53.37,54.48,10.895999999999999,27365.0,0.0,1.0,54.81,44.72,4.5,46.44,4.130000000000001,35.34
2019-01-11,2019-01-11,53.85,53.89,53.261,53.49,10.698,78842.0,0.0,1.0,57.33,44.72,4.65,44.72,6.65,37.62
2019-01-14,2019-01-14,53.06,53.5581,52.38,52.38,10.475999999999999,23899.0,0.0,1.0,54.56,49.59,3.0,36.57,4.62,37.52
2019-01-15,2019-01-15,53.25,54.05,53.25,54.05,10.81,12575.0,0.0,1.0,53.32,52.44,2.44,35.19,4.760000000000002,32.480000000000004
2019-01-16,2019-01-16,53.75,54.32,53.7097,54.21,10.842,24481.0,0.0,1.0,53.32,55.28999999999999,2.64,31.74,4.2700000000000005,35.28
2019-01-17,2019-01-17,53.39,54.3801,52.97,54.24,10.847999999999999,25141.0,0.0,1.0,52.7,56.99999999999999,3.16,33.12,4.0600000000000005,34.72000000000001
2019-01-18,2019-01-18,54.56,55.76,54.34,55.51,11.102,60732.0,0.0,1.0,55.18,46.17,4.0,28.98,5.8100000000000005,31.360000000000007
2019-01-22,2019-01-22,54.43,54.65,53.675,54.65,10.93,40803.0,0.0,1.0,54.56,52.2,1.65,30.6,4.56,33.6
2019-01-23,2019-01-23,54.78,54.87,53.6,54.1916,10.8383,20446.0,0.0,1.0,52.08,55.8,1.68,38.08000000000001,5.7,32.480000000000004
