date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef
2018-06-01,65.9,66.21,65.35,65.5,13.1,2112.0,0.0,1.0
2018-05-31,66.82,67.582,66.51,66.86,13.372,2728.0,0.0,1.0
2018-05-30,67.81,68.11,67.81,67.97,13.594,2770.0,0.0,1.0
2018-05-29,66.64,66.7,65.9,66.08,13.216,5127.0,0.0,1.0
2018-05-25,68.49,68.49,67.21,67.3917,13.4783,13570.0,0.0,1.0
2018-05-24,70.6599,70.82,70.31,70.32,14.064,4403.0,0.0,1.0
2018-05-23,71.59,71.59,71.2,71.3561,14.2712,167562.0,0.0,1.0
2018-05-22,72.2036,72.4,71.96,71.96,14.392,1421.0,0.0,1.0
2018-05-21,71.53,72.18,71.53,72.18,14.436,3905.0,0.0,1.0
2018-05-18,71.1146,71.1146,70.78,70.78,14.156,738.0,0.0,1.0
2018-05-17,71.64,71.64,71.1062,71.288,14.2576,6105.0,0.0,1.0
2018-05-16,70.63,71.21,70.601,71.21,14.242,3939.0,0.0,1.0
2018-05-15,70.4073,71.0,70.4073,71.0,14.2,405.0,0.0,1.0
2018-05-14,70.7893,70.7893,70.5393,70.73,14.146,902.0,0.0,1.0
2018-05-11,70.66,70.67,70.52,70.52,14.104,957.0,0.0,1.0
2018-05-10,70.6328,71.0086,70.38,71.0086,14.2017,3136.0,0.0,1.0
2018-05-09,70.23,70.7403,70.23,70.7403,14.1481,854.0,0.0,1.0
2018-05-08,67.715,70.13,67.7,68.93,13.786,7080.0,0.0,1.0
2018-05-07,70.02,70.2264,69.22,69.37,13.874,4295.0,0.0,1.0
2018-05-04,68.06,69.34,68.03,69.31,13.862,20262.0,0.0,1.0
2018-05-03,67.1321,68.1706,67.0,67.95,13.59,5611.0,0.0,1.0
2018-05-02,66.86,67.3855,66.86,67.3855,13.4771,4065.0,0.0,1.0
2018-05-01,67.01,67.05,67.0013,67.0013,13.4003,7231.0,0.0,1.0
2018-04-30,67.11,68.6,67.11,68.0054,13.6011,1832.0,0.0,1.0
2018-04-27,67.5712,67.63,67.57,67.57,13.514,967.0,0.0,1.0
2018-04-26,67.55,67.55,67.5165,67.5165,13.5033,1035.0,0.0,1.0
2018-04-25,67.3052,67.41,66.7956,67.4,13.48,1080.0,0.0,1.0
2018-04-24,68.5871,68.5871,67.29,67.29,13.458,2187.0,0.0,1.0
2018-04-23,66.98,67.57,66.98,67.5478,13.5096,1210.0,0.0,1.0
2018-04-20,67.2299,68.1,67.2299,68.1,13.62,1196.0,0.0,1.0
2018-04-19,68.67,68.76,67.605,67.8488,13.5698,32405.0,0.0,1.0
2018-04-18,67.43,67.77,67.32,67.32,13.464,1708.0,0.0,1.0
2018-04-17,65.38,66.04,65.38,66.03,13.206,4122.0,0.0,1.0
2018-04-16,66.33,66.3638,65.8,65.8,13.16,13917.0,0.0,1.0
2018-04-13,66.72,66.72,66.72,66.72,13.344,175.0,0.0,1.0
2018-04-12,66.09,66.279,65.55,66.2502,13.25,1306.0,0.0,1.0
2018-04-11,65.3,66.35,65.3,66.344,13.2688,1310.0,0.0,1.0
2018-04-10,64.14,65.29,64.14,65.29,13.058,1422.0,0.0,1.0
2018-04-09,62.4,62.82,62.4,62.82,12.564,412.0,0.0,1.0
2018-04-06,62.26,62.378,62.25,62.378,12.4756,1866.0,0.0,1.0
2018-04-05,62.75,63.18,62.7,63.1444,12.6289,1464.0,0.0,1.0
2018-04-04,62.04,62.8999,61.99,62.8999,12.58,9114.0,0.0,1.0
2018-04-03,63.03,63.12,62.9937,63.12,12.624,1569.0,0.0,1.0
2018-04-02,63.13,63.19,62.5425,62.5425,12.5085,3687.0,0.0,1.0
2018-03-29,63.83,63.83,63.83,63.83,12.766,0.0,0.0,1.0
2018-03-28,63.92,64.53,63.78,63.83,12.766,9982.0,0.0,1.0
2018-03-27,65.14,65.14,64.24,64.24,12.848,7523.0,0.0,1.0
2018-03-26,64.8,65.13,64.8,65.13,13.026,2415.0,0.0,1.0
2018-03-23,63.855,63.855,63.855,63.855,12.771,0.0,0.0,1.0
2018-03-22,63.8599,63.86,63.855,63.855,12.771,707.0,0.0,1.0
2018-03-21,63.7,64.58,63.685,64.58,12.916,2846.0,0.0,1.0
2018-03-20,62.8088,63.15,62.8085,62.9234,12.5847,2426.0,0.0,1.0
2018-03-19,61.42,61.67,61.1285,61.67,12.334,3671.0,0.0,1.0
2018-03-16,61.03,61.79,61.03,61.79,12.358,6854.0,0.0,1.0
2018-03-15,60.14,60.14,60.14,60.14,12.028,10.0,0.0,1.0
2018-03-14,60.16,60.16,60.14,60.14,12.028,3100.0,0.0,1.0
2018-03-13,60.11,60.11,60.1,60.1,12.02,1289.0,0.0,1.0
2018-03-12,61.0,61.0,61.0,61.0,12.2,73.0,0.0,1.0
2018-03-09,61.0,61.0,61.0,61.0,12.2,518.0,0.0,1.0
2018-03-08,61.6848,61.6848,61.6848,61.6848,12.337,0.0,0.0,1.0
2018-03-07,61.685,61.685,61.685,61.685,12.337,100.0,0.0,1.0
2018-03-06,61.97,61.97,61.7895,61.7895,12.3579,4117.0,0.0,1.0
2018-03-05,61.7961,61.85,61.796,61.8099,12.362,1156.0,0.0,1.0
2018-03-02,59.92,59.92,59.8868,59.8868,11.9774,458.0,0.0,1.0
2018-03-01,60.0,60.0,60.0,60.0,12.0,403.0,0.0,1.0
2018-02-28,63.0772,63.0772,63.0772,63.0772,12.6154,55.0,0.0,1.0
2018-02-27,63.077,63.077,63.077,63.077,12.6154,300.0,0.0,1.0
2018-02-26,62.64,63.48,62.49,63.48,12.696,1300.0,0.0,1.0
2018-02-23,62.8901,62.93,62.7099,62.88,12.576,3074.0,0.0,1.0
2018-02-22,61.39,62.07,61.0,62.05,12.41,4546.0,0.0,1.0
2018-02-21,60.68,60.97,60.68,60.9492,12.1898,2000.0,0.0,1.0
2018-02-20,60.65,60.65,60.65,60.65,12.13,0.0,0.0,1.0
2018-02-16,60.1901,61.12,60.19,60.65,12.13,12098.0,0.0,1.0
2018-02-15,59.12,59.12,59.12,59.12,11.824,0.0,0.0,1.0
2018-02-14,57.78,59.12,57.78,59.12,11.824,3705.0,0.0,1.0
2018-02-13,59.41,59.41,59.41,59.41,11.882,16.0,0.0,1.0
2018-02-12,59.41,59.41,59.41,59.41,11.882,400.0,0.0,1.0
2018-02-09,57.92,58.3,57.92,58.29,11.658,1443.0,0.0,1.0
2018-02-08,60.8982,60.8982,60.8982,60.8982,12.1796,0.0,0.0,1.0
2018-02-07,62.45,62.45,60.78,60.8982,12.1796,2319.0,0.0,1.0
2018-02-06,63.03,63.03,62.53,62.53,12.506,4373.0,0.0,1.0
2018-02-05,63.61,64.11,62.88,62.88,12.576,3227.0,0.0,1.0
2018-02-02,63.76,63.76,63.7478,63.7478,12.7496,3366.0,0.0,1.0
2018-02-01,63.77,63.77,63.77,63.77,12.754,13.0,0.0,1.0
2018-01-31,63.86,63.86,63.77,63.77,12.754,803.0,0.0,1.0
2018-01-30,63.46,63.46,63.4599,63.4599,12.692,1753.0,0.0,1.0
2018-01-29,64.31,64.31,64.3099,64.3099,12.862,1156.0,0.0,1.0
2018-01-26,65.3,65.3,65.2626,65.2626,13.0525,802.0,0.0,1.0
2018-01-25,65.21,65.21,64.49,64.49,12.898,1005.0,0.0,1.0
2018-01-24,62.4678,62.4678,62.4678,62.4678,12.4936,214.0,0.0,1.0
2018-01-23,62.4678,62.4678,62.4678,62.4678,12.4936,0.0,0.0,1.0
2018-01-22,62.4678,62.4678,62.4678,62.4678,12.4936,5.0,0.0,1.0
2018-01-19,62.48,62.48,62.4678,62.4678,12.4936,3484.0,0.0,1.0
2018-01-18,62.73,62.92,62.73,62.9177,12.5835,4228.0,0.0,1.0
2018-01-17,63.09,63.09,63.0527,63.0527,12.6105,432.0,0.0,1.0
2018-01-16,62.75,62.75,62.75,62.75,12.55,2489.0,0.0,1.0
2018-01-12,62.4548,62.4548,62.4548,62.4548,12.491,240.0,0.0,1.0
2018-01-11,62.5,62.5,62.5,62.5,12.5,252.0,0.0,1.0
2018-01-10,62.25,62.48,62.2301,62.48,12.496,731.0,0.0,1.0
2018-01-09,61.41,61.83,61.41,61.83,12.366,270.0,0.0,1.0
2018-01-08,60.44,60.44,60.44,60.44,12.088,0.0,0.0,1.0
2018-01-05,60.44,60.44,60.44,60.44,12.088,100.0,0.0,1.0
2018-01-04,59.15,59.15,59.15,59.15,11.83,0.0,0.0,1.0
2018-01-03,59.15,59.15,59.15,59.15,11.83,49.0,0.0,1.0
2018-01-02,59.15,59.15,59.15,59.15,11.83,10.0,0.0,1.0
2017-12-29,59.15,59.15,59.15,59.15,11.83,600.0,0.0,1.0
2017-12-28,58.52,58.53,58.52,58.53,11.706,2223.0,0.0,1.0
